llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1446;False;;18.470083951950073;total_tokens: 795, completion_tokens: 290, prompt_tokens: 505;0.013749999999999998;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1446;True;CWE-79;23.809783458709717;total_tokens: 1782, completion_tokens: 426, prompt_tokens: 1356;0.02634;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1447;False;;14.223109006881714;total_tokens: 782, completion_tokens: 257, prompt_tokens: 525;0.01296;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1447;True;CWE-352;23.830556869506836;total_tokens: 1785, completion_tokens: 422, prompt_tokens: 1363;0.02629;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1144;True;CWE-20;10.670772314071655;total_tokens: 741, completion_tokens: 175, prompt_tokens: 566;0.01091;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1144;None;CWE-20;26.828808546066284;total_tokens: 1793, completion_tokens: 430, prompt_tokens: 1363;0.02653;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1145;True;CWE-20;14.762995719909668;total_tokens: 880, completion_tokens: 226, prompt_tokens: 654;0.01332;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1145;False;;29.786144971847534;total_tokens: 1990, completion_tokens: 400, prompt_tokens: 1590;0.0279;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1146;True;CWE-20;14.351654291152954;total_tokens: 802, completion_tokens: 226, prompt_tokens: 576;0.012539999999999999;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1146;True;CWE-190;23.23845911026001;total_tokens: 1826, completion_tokens: 392, prompt_tokens: 1434;0.026099999999999998;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1147;True;CWE-20;28.54524040222168;total_tokens: 944, completion_tokens: 266, prompt_tokens: 678;0.014760000000000002;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1147;False;CWE-20;38.01333498954773;total_tokens: 2085, completion_tokens: 407, prompt_tokens: 1678;0.028990000000000002;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1148;True;CWE-20;4.917741775512695;total_tokens: 760, completion_tokens: 195, prompt_tokens: 565;0.0115;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1148;True;CWE-197 CWE-190 CWE-20;15.38644528388977;total_tokens: 1738, completion_tokens: 357, prompt_tokens: 1381;0.02452;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1149;True;CWE-190;26.01774311065674;total_tokens: 990, completion_tokens: 313, prompt_tokens: 677;0.01616;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1149;True;CWE-20 CWE-190;43.528432846069336;total_tokens: 2308, completion_tokens: 585, prompt_tokens: 1723;0.034780000000000005;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1150;False;;18.161879777908325;total_tokens: 610, completion_tokens: 263, prompt_tokens: 347;0.011359999999999999;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1150;True;CWE-190;22.121184587478638;total_tokens: 1380, completion_tokens: 367, prompt_tokens: 1013;0.02114;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1151;False;;17.01210880279541;total_tokens: 766, completion_tokens: 331, prompt_tokens: 435;0.01428;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1151;True;CWE-570;28.63918685913086;total_tokens: 1768, completion_tokens: 511, prompt_tokens: 1257;0.0279;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1152;False;;7.944371700286865;total_tokens: 638, completion_tokens: 281, prompt_tokens: 357;0.012;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1152;True;CWE-190;16.23130702972412;total_tokens: 1463, completion_tokens: 412, prompt_tokens: 1051;0.02287;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1153;False;;8.65882658958435;total_tokens: 797, completion_tokens: 338, prompt_tokens: 459;0.01473;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1153;True;CWE-190;17.7449848651886;total_tokens: 1763, completion_tokens: 451, prompt_tokens: 1312;0.02665;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1154;False;;16.689548015594482;total_tokens: 606, completion_tokens: 260, prompt_tokens: 346;0.01126;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1154;True;CWE-190;28.793596982955933;total_tokens: 1386, completion_tokens: 378, prompt_tokens: 1008;0.02142;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1155;False;;27.505733966827393;total_tokens: 819, completion_tokens: 361, prompt_tokens: 458;0.01541;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1155;True;CWE-190;30.93041443824768;total_tokens: 1788, completion_tokens: 455, prompt_tokens: 1333;0.02698;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1156;False;;16.59298610687256;total_tokens: 595, completion_tokens: 224, prompt_tokens: 371;0.01043;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1156;False;;25.34774947166443;total_tokens: 1418, completion_tokens: 396, prompt_tokens: 1022;0.0221;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1157;False;;28.421783685684204;total_tokens: 798, completion_tokens: 339, prompt_tokens: 459;0.01476;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1157;None;;40.57786560058594;total_tokens: 1791, completion_tokens: 478, prompt_tokens: 1313;0.02747;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1158;False;;14.178667545318604;total_tokens: 680, completion_tokens: 299, prompt_tokens: 381;0.01278;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1158;True;CWE-190;18.134761333465576;total_tokens: 1525, completion_tokens: 408, prompt_tokens: 1117;0.02341;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1159;False;;10.57844877243042;total_tokens: 817, completion_tokens: 334, prompt_tokens: 483;0.014849999999999999;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1159;None;CWE-190;24.81766939163208;total_tokens: 1888, completion_tokens: 532, prompt_tokens: 1356;0.029519999999999998;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1160;False;;16.07116675376892;total_tokens: 599, completion_tokens: 229, prompt_tokens: 370;0.01057;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1160;True;CWE-190;24.273796558380127;total_tokens: 1371, completion_tokens: 346, prompt_tokens: 1025;0.02063;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1161;False;;18.925363540649414;total_tokens: 835, completion_tokens: 353, prompt_tokens: 482;0.015409999999999998;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1161;True;CWE-190;25.857489585876465;total_tokens: 1846, completion_tokens: 473, prompt_tokens: 1373;0.02792;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1162;True;CWE-20;18.4096097946167;total_tokens: 1028, completion_tokens: 397, prompt_tokens: 631;0.01822;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1162;False;;31.221580982208252;total_tokens: 2303, completion_tokens: 588, prompt_tokens: 1715;0.03479;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1163;True;CWE-190;50.70460224151611;total_tokens: 1004, completion_tokens: 285, prompt_tokens: 719;0.015739999999999997;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1163;False;CWE-190;58.272244453430176;total_tokens: 2214, completion_tokens: 435, prompt_tokens: 1779;0.030839999999999996;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1164;True;CWE-20;17.068442583084106;total_tokens: 910, completion_tokens: 269, prompt_tokens: 641;0.01448;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1164;True;CWE-190;22.073814868927002;total_tokens: 2018, completion_tokens: 411, prompt_tokens: 1607;0.028399999999999998;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1165;True;CWE-20;5.981997966766357;total_tokens: 950, completion_tokens: 207, prompt_tokens: 743;0.01364;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1165;False;;12.42254900932312;total_tokens: 2060, completion_tokens: 311, prompt_tokens: 1749;0.026819999999999997;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1166;True;CWE-20;15.541589260101318;total_tokens: 940, completion_tokens: 310, prompt_tokens: 630;0.0156;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1166;True;CWE-190;25.43610119819641;total_tokens: 2069, completion_tokens: 443, prompt_tokens: 1626;0.02955;2024-01-14
gpt-4-turbo;juliet-top-25-small;dataflow_analysis_prompt;J1167;True;CWE-20;19.506236791610718;total_tokens: 1061, completion_tokens: 319, prompt_tokens: 742;0.01699;2024-01-14
