dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
juliet-top-25-small;dataflow_analysis_prompt;J1446;False;;18.470083951950073;total_tokens: 795, completion_tokens: 290, prompt_tokens: 505;0.013749999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1446;True;CWE-79;23.809783458709717;total_tokens: 1782, completion_tokens: 426, prompt_tokens: 1356;0.02634;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1447;False;;14.223109006881714;total_tokens: 782, completion_tokens: 257, prompt_tokens: 525;0.01296;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1447;True;CWE-352;23.830556869506836;total_tokens: 1785, completion_tokens: 422, prompt_tokens: 1363;0.02629;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1144;True;CWE-20;10.670772314071655;total_tokens: 741, completion_tokens: 175, prompt_tokens: 566;0.01091;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1144;None;CWE-20;26.828808546066284;total_tokens: 1793, completion_tokens: 430, prompt_tokens: 1363;0.02653;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1145;True;CWE-20;14.762995719909668;total_tokens: 880, completion_tokens: 226, prompt_tokens: 654;0.01332;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1145;False;;29.786144971847534;total_tokens: 1990, completion_tokens: 400, prompt_tokens: 1590;0.0279;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1146;True;CWE-20;14.351654291152954;total_tokens: 802, completion_tokens: 226, prompt_tokens: 576;0.012539999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1146;True;CWE-190;23.23845911026001;total_tokens: 1826, completion_tokens: 392, prompt_tokens: 1434;0.026099999999999998;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1147;True;CWE-20;28.54524040222168;total_tokens: 944, completion_tokens: 266, prompt_tokens: 678;0.014760000000000002;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1147;False;CWE-20;38.01333498954773;total_tokens: 2085, completion_tokens: 407, prompt_tokens: 1678;0.028990000000000002;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1148;True;CWE-20;4.917741775512695;total_tokens: 760, completion_tokens: 195, prompt_tokens: 565;0.0115;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1148;True;CWE-197 CWE-190 CWE-20;15.38644528388977;total_tokens: 1738, completion_tokens: 357, prompt_tokens: 1381;0.02452;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1149;True;CWE-190;26.01774311065674;total_tokens: 990, completion_tokens: 313, prompt_tokens: 677;0.01616;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1149;True;CWE-20 CWE-190;43.528432846069336;total_tokens: 2308, completion_tokens: 585, prompt_tokens: 1723;0.034780000000000005;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1150;False;;18.161879777908325;total_tokens: 610, completion_tokens: 263, prompt_tokens: 347;0.011359999999999999;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1150;True;CWE-190;22.121184587478638;total_tokens: 1380, completion_tokens: 367, prompt_tokens: 1013;0.02114;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1151;False;;17.01210880279541;total_tokens: 766, completion_tokens: 331, prompt_tokens: 435;0.01428;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1151;True;CWE-570;28.63918685913086;total_tokens: 1768, completion_tokens: 511, prompt_tokens: 1257;0.0279;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1152;False;;7.944371700286865;total_tokens: 638, completion_tokens: 281, prompt_tokens: 357;0.012;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt_self_reflection;J1152;True;CWE-190;16.23130702972412;total_tokens: 1463, completion_tokens: 412, prompt_tokens: 1051;0.02287;2024-01-14
juliet-top-25-small;dataflow_analysis_prompt;J1153;False;;8.65882658958435;total_tokens: 797, completion_tokens: 338, prompt_tokens: 459;0.01473;2024-01-14
