CWE,Language,Query id,Query name
CWE-20,Java/Kotlin,java/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,Java/Kotlin,java/overly-large-range,Overly permissive regular expression range
CWE-20,Java/Kotlin,java/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,Java/Kotlin,java/improper-validation-of-array-construction,Improper validation of user-provided size used for array construction
CWE-20,Java/Kotlin,java/improper-validation-of-array-construction-code-specified,Improper validation of code-specified size used for array construction
CWE-20,Java/Kotlin,java/improper-validation-of-array-construction-local,Improper validation of local user-provided size used for array construction
CWE-20,Java/Kotlin,java/improper-validation-of-array-index,Improper validation of user-provided array index
CWE-20,Java/Kotlin,java/improper-validation-of-array-index-code-specified,Improper validation of code-specified array index
CWE-20,Java/Kotlin,java/improper-validation-of-array-index-local,Improper validation of local user-provided array index
CWE-20,Java/Kotlin,java/log4j-injection,Potential Log4J LDAP JNDI injection (CVE-2021-44228)
CWE-22,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-22,Java/Kotlin,java/path-injection-local,Local-user-controlled data in path expression
CWE-22,Java/Kotlin,java/zipslip,"Arbitrary file access during archive extraction (""Zip Slip"")"
CWE-22,Java/Kotlin,java/partial-path-traversal,Partial path traversal vulnerability
CWE-22,Java/Kotlin,java/partial-path-traversal-from-remote,Partial path traversal vulnerability from remote
CWE-22,Java/Kotlin,java/openstream-called-on-tainted-url,openStream called on URLs created from remote source
CWE-23,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-23,Java/Kotlin,java/path-injection-local,Local-user-controlled data in path expression
CWE-23,Java/Kotlin,java/partial-path-traversal,Partial path traversal vulnerability
CWE-23,Java/Kotlin,java/partial-path-traversal-from-remote,Partial path traversal vulnerability from remote
CWE-36,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-36,Java/Kotlin,java/path-injection-local,Local-user-controlled data in path expression
CWE-36,Java/Kotlin,java/openstream-called-on-tainted-url,openStream called on URLs created from remote source
CWE-73,Java/Kotlin,java/path-injection,Uncontrolled data used in path expression
CWE-73,Java/Kotlin,java/path-injection-local,Local-user-controlled data in path expression
CWE-73,Java/Kotlin,java/file-path-injection,File Path Injection
CWE-74,Java/Kotlin,java/jndi-injection,JNDI lookup with user-controlled name
CWE-74,Java/Kotlin,java/xslt-injection,XSLT transformation with user-controlled stylesheet
CWE-74,Java/Kotlin,java/relative-path-command,Executing a command with a relative path
CWE-74,Java/Kotlin,java/command-line-injection,Uncontrolled command line
CWE-74,Java/Kotlin,java/command-line-injection-local,Local-user-controlled command line
CWE-74,Java/Kotlin,java/concatenated-command-line,Building a command line with string concatenation
CWE-74,Java/Kotlin,java/android/webview-addjavascriptinterface,Access Java object methods through JavaScript exposure
CWE-74,Java/Kotlin,java/android/websettings-javascript-enabled,Android WebView JavaScript settings
CWE-74,Java/Kotlin,java/xss,Cross-site scripting
CWE-74,Java/Kotlin,java/xss-local,Cross-site scripting from local source
CWE-74,Java/Kotlin,java/concatenated-sql-query,Query built by concatenation with a possibly-untrusted string
CWE-74,Java/Kotlin,java/sql-injection,Query built from user-controlled sources
CWE-74,Java/Kotlin,java/sql-injection-local,Query built from local-user-controlled sources
CWE-74,Java/Kotlin,java/ldap-injection,LDAP query built from user-controlled sources
CWE-74,Java/Kotlin,java/android/arbitrary-apk-installation,Android APK installation
CWE-74,Java/Kotlin,java/groovy-injection,Groovy Language injection
CWE-74,Java/Kotlin,java/insecure-bean-validation,Insecure Bean Validation
CWE-74,Java/Kotlin,java/jexl-expression-injection,Expression language injection (JEXL)
CWE-74,Java/Kotlin,java/mvel-expression-injection,Expression language injection (MVEL)
CWE-74,Java/Kotlin,java/spel-expression-injection,Expression language injection (Spring)
CWE-74,Java/Kotlin,java/server-side-template-injection,Server-side template injection
CWE-74,Java/Kotlin,java/netty-http-request-or-response-splitting,Disabled Netty HTTP header validation
CWE-74,Java/Kotlin,java/http-response-splitting,HTTP response splitting
CWE-74,Java/Kotlin,java/http-response-splitting-local,HTTP response splitting from local source
