new file name, old file name, CWE, CWE present, CWE description, CodeQl result
J1000, CWE111_Unsafe_JNI__console_01_bad, CWE-111, True, Unsafe JNI
J1002, CWE113_HTTP_Response_Splitting__connect_tcp_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1003, CWE113_HTTP_Response_Splitting__connect_tcp_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1004, CWE113_HTTP_Response_Splitting__connect_tcp_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1005, CWE113_HTTP_Response_Splitting__connect_tcp_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1006, CWE113_HTTP_Response_Splitting__connect_tcp_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
J1007, CWE113_HTTP_Response_Splitting__connect_tcp_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1008, CWE113_HTTP_Response_Splitting__console_readLine_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1009, CWE113_HTTP_Response_Splitting__console_readLine_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1010, CWE113_HTTP_Response_Splitting__console_readLine_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1011, CWE113_HTTP_Response_Splitting__console_readLine_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1012, CWE113_HTTP_Response_Splitting__console_readLine_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1013, CWE113_HTTP_Response_Splitting__console_readLine_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1014, CWE113_HTTP_Response_Splitting__database_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1015, CWE113_HTTP_Response_Splitting__database_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1016, CWE113_HTTP_Response_Splitting__database_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1017, CWE113_HTTP_Response_Splitting__database_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1018, CWE113_HTTP_Response_Splitting__database_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1019, CWE113_HTTP_Response_Splitting__database_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1020, CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1021, CWE113_HTTP_Response_Splitting__Environment_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1022, CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1023, CWE113_HTTP_Response_Splitting__Environment_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1024, CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1025, CWE113_HTTP_Response_Splitting__Environment_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1026, CWE113_HTTP_Response_Splitting__File_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-311 CWE-614 CWE-693
J1027, CWE113_HTTP_Response_Splitting__File_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1028, CWE113_HTTP_Response_Splitting__File_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1029, CWE113_HTTP_Response_Splitting__File_addHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1030, CWE113_HTTP_Response_Splitting__File_setHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting
J1031, CWE113_HTTP_Response_Splitting__File_setHeaderServlet_01_good, CWE-113, False, HTTP Response Splitting
J1032, CWE113_HTTP_Response_Splitting__getCookies_Servlet_addCookieServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-311 CWE-614 CWE-693
J1033, CWE113_HTTP_Response_Splitting__getCookies_Servlet_addCookieServlet_01_good, CWE-113, False, HTTP Response Splitting,CWE-311 CWE-614 CWE-693,CWE-311 CWE-614 CWE-693
J1034, CWE113_HTTP_Response_Splitting__getCookies_Servlet_addHeaderServlet_01_bad, CWE-113, True, HTTP Response Splitting,CWE-74 CWE-93 CWE-113 CWE-707,CWE-601 CWE-610 CWE-664
