llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10530;True;CWE-129;4.107645511627197;total_tokens: 586, completion_tokens: 61, prompt_tokens: 525;0.00708;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10531;True;CWE-89;4.834691762924194;total_tokens: 1120, completion_tokens: 55, prompt_tokens: 1065;0.0123;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10126;True;CWE-129;4.852687358856201;total_tokens: 591, completion_tokens: 54, prompt_tokens: 537;0.0069900000000000006;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10676;True;CWE-129;4.930168151855469;total_tokens: 404, completion_tokens: 51, prompt_tokens: 353;0.00506;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10677;True;CWE-129;5.49462890625;total_tokens: 805, completion_tokens: 48, prompt_tokens: 757;0.00901;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci;J10127;True;CWE-129;5.562192916870117;total_tokens: 720, completion_tokens: 68, prompt_tokens: 652;0.00856;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_improve;J10531;False;;17.66903328895569;total_tokens: 3804, completion_tokens: 241, prompt_tokens: 3563;0.04286;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_improve;J10677;True;CWE-129;19.213181018829346;total_tokens: 2930, completion_tokens: 273, prompt_tokens: 2657;0.03476;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_improve;J10126;True;CWE-129;20.14209294319153;total_tokens: 2259, completion_tokens: 260, prompt_tokens: 1999;0.027790000000000002;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_improve;J10127;False;;26.453266859054565;total_tokens: 2940, completion_tokens: 433, prompt_tokens: 2507;0.03806;2024-02-03
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_improve;J10676;True;CWE-129;29.27047848701477;total_tokens: 2048, completion_tokens: 446, prompt_tokens: 1602;0.029400000000000003;2024-02-03
