llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10676;True;CWE-129;22.223308324813843;total_tokens: 1019, completion_tokens: 385, prompt_tokens: 634;0.038384999999999996;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10530;False;;25.2802734375;total_tokens: 1333, completion_tokens: 421, prompt_tokens: 912;0.045255;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10126;True;CWE-129;27.268195629119873;total_tokens: 1329, completion_tokens: 430, prompt_tokens: 899;0.045735;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10531;False;;28.643853902816772;total_tokens: 2126, completion_tokens: 493, prompt_tokens: 1633;0.06147;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10677;False;;30.41219425201416;total_tokens: 1697, completion_tokens: 545, prompt_tokens: 1152;0.058155;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10127;True;CWE-129;32.0247278213501;total_tokens: 1506, completion_tokens: 471, prompt_tokens: 1035;0.05084999999999999;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11176;True;CWE-129;22.92231059074402;total_tokens: 1052, completion_tokens: 415, prompt_tokens: 637;0.040679999999999994;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11015;False;;23.672460317611694;total_tokens: 2175, completion_tokens: 446, prompt_tokens: 1729;0.059385;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10739;False;;24.974663734436035;total_tokens: 1539, completion_tokens: 455, prompt_tokens: 1084;0.050385;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11177;False;;25.406052112579346;total_tokens: 1274, completion_tokens: 479, prompt_tokens: 795;0.04785;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11339;False;;25.90288996696472;total_tokens: 1566, completion_tokens: 397, prompt_tokens: 1169;0.04731;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11338;True;CWE-190;26.436649084091187;total_tokens: 1120, completion_tokens: 492, prompt_tokens: 628;0.04631999999999999;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11014;True;CWE-190;28.021238327026367;total_tokens: 1452, completion_tokens: 488, prompt_tokens: 964;0.05106;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10754;True;CWE-129;28.44513440132141;total_tokens: 1178, completion_tokens: 528, prompt_tokens: 650;0.049350000000000005;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10738;True;CWE-129;28.979875326156616;total_tokens: 1288, completion_tokens: 620, prompt_tokens: 668;0.05652;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J10755;False;;30.673081874847412;total_tokens: 1736, completion_tokens: 584, prompt_tokens: 1152;0.061079999999999995;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11558;True;CWE-129;22.773422479629517;total_tokens: 1102, completion_tokens: 414, prompt_tokens: 688;0.04137;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11559;False;;25.85448908805847;total_tokens: 1762, completion_tokens: 483, prompt_tokens: 1279;0.05541;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11608;True;CWE-129;26.001323223114014;total_tokens: 1152, completion_tokens: 450, prompt_tokens: 702;0.04428;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J11609;False;;30.192934274673462;total_tokens: 1888, completion_tokens: 549, prompt_tokens: 1339;0.06126;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12225;False;;21.559677362442017;total_tokens: 1322, completion_tokens: 395, prompt_tokens: 927;0.04353;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12326;False;;21.77672529220581;total_tokens: 1182, completion_tokens: 402, prompt_tokens: 780;0.04185;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12224;False;;22.146219968795776;total_tokens: 1003, completion_tokens: 491, prompt_tokens: 512;0.044504999999999996;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12290;False;;22.432403564453125;total_tokens: 1188, completion_tokens: 404, prompt_tokens: 784;0.04206;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12753;False;;23.08485984802246;total_tokens: 1430, completion_tokens: 426, prompt_tokens: 1004;0.047009999999999996;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12498;False;;23.072807550430298;total_tokens: 1239, completion_tokens: 431, prompt_tokens: 808;0.044445;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12327;False;;24.486944437026978;total_tokens: 1340, completion_tokens: 424, prompt_tokens: 916;0.04554;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12752;False;;27.925392866134644;total_tokens: 1030, completion_tokens: 475, prompt_tokens: 555;0.043949999999999996;2024-03-22
claude-3-opus-20240229;juliet-top-25-subset-34;cot_high_level;J12291;True;CWE-129;30.738895177841187;total_tokens: 1932, completion_tokens: 544, prompt_tokens: 1388;0.06162;2024-03-22
