llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10126;True;CWE-129;16.72647452354431;total_tokens: 1064, completion_tokens: 248, prompt_tokens: 816;0.03084;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10676;True;CWE-787;17.486620664596558;total_tokens: 813, completion_tokens: 262, prompt_tokens: 551;0.027915000000000002;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10127;True;CWE-129;18.222991466522217;total_tokens: 1240, completion_tokens: 288, prompt_tokens: 952;0.035879999999999995;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10530;True;CWE-129;21.711193561553955;total_tokens: 1123, completion_tokens: 294, prompt_tokens: 829;0.034484999999999995;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10531;False;;24.21843981742859;total_tokens: 1895, completion_tokens: 345, prompt_tokens: 1550;0.049125;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10677;False;;24.653914213180542;total_tokens: 1445, completion_tokens: 376, prompt_tokens: 1069;0.044235;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10127;False;;49.230873346328735;total_tokens: 4682, completion_tokens: 746, prompt_tokens: 3936;0.11499;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10676;False;;49.229243755340576;total_tokens: 3438, completion_tokens: 742, prompt_tokens: 2696;0.09609;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10126;True;CWE-20;50.76887083053589;total_tokens: 4285, completion_tokens: 779, prompt_tokens: 3506;0.11101499999999999;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10531;True;CWE-209;56.911823987960815;total_tokens: 6810, completion_tokens: 875, prompt_tokens: 5935;0.15465;2024-03-21
claude-3-opus-20240229;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10677;True;CWE-20;59.5181519985199;total_tokens: 5395, completion_tokens: 887, prompt_tokens: 4508;0.134145;2024-03-21
