llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10531;True;CWE-89;2.6556973457336426;total_tokens: 1231, completion_tokens: 47, prompt_tokens: 1184;0.01325;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10127;True;CWE-190;3.8632445335388184;total_tokens: 791, completion_tokens: 79, prompt_tokens: 712;0.00949;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10676;True;CWE-807;3.860907554626465;total_tokens: 440, completion_tokens: 73, prompt_tokens: 367;0.00586;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10126;True;CWE-129;4.21409797668457;total_tokens: 674, completion_tokens: 85, prompt_tokens: 589;0.00844;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10530;True;CWE-129;4.66534948348999;total_tokens: 645, completion_tokens: 74, prompt_tokens: 571;0.00793;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10677;True;CWE-807;6.522535085678101;total_tokens: 861, completion_tokens: 49, prompt_tokens: 812;0.009590000000000001;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10531;False;;11.052452087402344;total_tokens: 4095, completion_tokens: 197, prompt_tokens: 3898;0.04489;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10676;True;CWE-129;12.481108665466309;total_tokens: 1743, completion_tokens: 240, prompt_tokens: 1503;0.02223;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10126;True;CWE-129;13.17226243019104;total_tokens: 2478, completion_tokens: 285, prompt_tokens: 2193;0.03048;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10127;True;CWE-129;14.616959571838379;total_tokens: 2877, completion_tokens: 295, prompt_tokens: 2582;0.03466999999999999;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10530;True;CWE-129;15.045921802520752;total_tokens: 2480, completion_tokens: 316, prompt_tokens: 2164;0.031120000000000002;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10677;True;CWE-129;19.161521196365356;total_tokens: 3066, completion_tokens: 251, prompt_tokens: 2815;0.03568;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10755;True;CWE-807;1.9648323059082031;total_tokens: 833, completion_tokens: 59, prompt_tokens: 774;0.009510000000000001;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11014;True;CWE-129;2.062937021255493;total_tokens: 698, completion_tokens: 56, prompt_tokens: 642;0.0081;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11339;True;CWE-129;2.3084144592285156;total_tokens: 868, completion_tokens: 48, prompt_tokens: 820;0.00964;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10754;True;CWE-129;2.6351566314697266;total_tokens: 433, completion_tokens: 72, prompt_tokens: 361;0.005769999999999999;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10738;True;CWE-129;2.6222336292266846;total_tokens: 459, completion_tokens: 54, prompt_tokens: 405;0.0056700000000000006;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11176;True;CWE-129;3.1369106769561768;total_tokens: 432, completion_tokens: 52, prompt_tokens: 380;0.00536;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11177;True;CWE-807;3.8831024169921875;total_tokens: 586, completion_tokens: 73, prompt_tokens: 513;0.00732;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11015;True;CWE-129;4.309471368789673;total_tokens: 1415, completion_tokens: 102, prompt_tokens: 1313;0.01619;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J10739;True;CWE-129;6.5992841720581055;total_tokens: 874, completion_tokens: 95, prompt_tokens: 779;0.01064;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11338;True;CWE-129;8.898926973342896;total_tokens: 417, completion_tokens: 55, prompt_tokens: 362;0.00527;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10738;True;CWE-129;9.897988319396973;total_tokens: 1828, completion_tokens: 238, prompt_tokens: 1590;0.02304;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11176;True;CWE-129;12.358563423156738;total_tokens: 1766, completion_tokens: 247, prompt_tokens: 1519;0.022600000000000002;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11014;True;CWE-190;12.508982181549072;total_tokens: 2583, completion_tokens: 274, prompt_tokens: 2309;0.03131;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10755;True;CWE-129;12.892189025878906;total_tokens: 2988, completion_tokens: 262, prompt_tokens: 2726;0.03512;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10754;True;CWE-129;13.868630170822144;total_tokens: 1718, completion_tokens: 239, prompt_tokens: 1479;0.02196;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J10739;False;;15.918365001678467;total_tokens: 3090, completion_tokens: 292, prompt_tokens: 2798;0.03674;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11177;True;CWE-190 CWE-20;16.268605709075928;total_tokens: 2369, completion_tokens: 364, prompt_tokens: 2005;0.030969999999999998;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11338;True;CWE-129;16.675305128097534;total_tokens: 1725, completion_tokens: 247, prompt_tokens: 1478;0.02219;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11015;True;CWE-129;16.925575971603394;total_tokens: 4784, completion_tokens: 359, prompt_tokens: 4425;0.055020000000000006;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11339;True;CWE-129;20.09203028678894;total_tokens: 3061, completion_tokens: 248, prompt_tokens: 2813;0.03557;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11608;True;CWE-129;4.1908862590789795;total_tokens: 512, completion_tokens: 85, prompt_tokens: 427;0.0068200000000000005;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11558;True;CWE-89;7.0664098262786865;total_tokens: 583, completion_tokens: 168, prompt_tokens: 415;0.00919;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11559;True;CWE-89 CWE-20 CWE-129;11.901076316833496;total_tokens: 1168, completion_tokens: 248, prompt_tokens: 920;0.01664;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci;J11609;True;CWE-89 CWE-20;12.917069673538208;total_tokens: 1169, completion_tokens: 201, prompt_tokens: 968;0.01571;2024-02-17
gpt-4-0125-preview;juliet-top-25-subset-34;api_seq_prompt_rci_improve_short;J11558;True;CWE-787;14.804347276687622;total_tokens: 2202, completion_tokens: 362, prompt_tokens: 1840;0.02926;2024-02-17
