llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J11608;True;CWE-89 CWE-532;21.33630681037903;total_tokens: 1049, completion_tokens: 498, prompt_tokens: 551;0.02045;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J11608;True;CWE-89 CWE-129 CWE-532;55.564351081848145;total_tokens: 4142, completion_tokens: 988, prompt_tokens: 3154;0.06118;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J11609;True;CWE-20 CWE-200 CWE-668 CWE-755;21.64454460144043;total_tokens: 1578, completion_tokens: 522, prompt_tokens: 1056;0.02622;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J11609;True;CWE-200 CWE-20;73.9914710521698;total_tokens: 6431, completion_tokens: 1432, prompt_tokens: 4999;0.09295;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10530;True;CWE-89 CWE-20 CWE-200;15.646679878234863;total_tokens: 1219, completion_tokens: 517, prompt_tokens: 702;0.022529999999999998;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10676;True;CWE-209 CWE-807;18.88689160346985;total_tokens: 1051, completion_tokens: 521, prompt_tokens: 530;0.02093;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10677;True;CWE-20;27.58710551261902;total_tokens: 1474, completion_tokens: 540, prompt_tokens: 934;0.02554;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10126;False;;30.49148416519165;total_tokens: 1218, completion_tokens: 504, prompt_tokens: 714;0.02226;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10127;True;CWE-20 CWE-532;32.20555639266968;total_tokens: 1255, completion_tokens: 426, prompt_tokens: 829;0.02107;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10531;True;CWE-89 CWE-200 CWE-306 CWE-264 CWE-311;33.843573570251465;total_tokens: 1802, completion_tokens: 560, prompt_tokens: 1242;0.029220000000000003;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10676;False;;54.238688468933105;total_tokens: 4845, completion_tokens: 1428, prompt_tokens: 3417;0.07701;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10677;True;CWE-20;59.57261872291565;total_tokens: 5912, completion_tokens: 1258, prompt_tokens: 4654;0.08428;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10127;True;CWE-20 CWE-532;63.48387098312378;total_tokens: 4871, completion_tokens: 963, prompt_tokens: 3908;0.06797;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10126;True;CWE-20 CWE-319;67.05569267272949;total_tokens: 5176, completion_tokens: 1262, prompt_tokens: 3914;0.077;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10530;True;CWE-89 CWE-20 CWE-200 CWE-311 CWE-306;67.43129348754883;total_tokens: 5037, completion_tokens: 1240, prompt_tokens: 3797;0.07517;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review_improve;J10531;True;CWE-209;78.6278715133667;total_tokens: 6929, completion_tokens: 1353, prompt_tokens: 5576;0.09635;2024-02-18
gpt-4-0125-preview;juliet-top-25-subset-34;code_review;J10738;True;CWE-787 CWE-532;13.885931253433228;total_tokens: 892, completion_tokens: 324, prompt_tokens: 568;0.015399999999999999;2024-02-18
