llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10127;False;;27.112294673919678;total_tokens: 1329, completion_tokens: 511, prompt_tokens: 818;0.02351;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10530;True;CWE-129;29.285311937332153;total_tokens: 1170, completion_tokens: 479, prompt_tokens: 691;0.02128;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10531;True;CWE-129 CWE-754;29.911136865615845;total_tokens: 1765, completion_tokens: 534, prompt_tokens: 1231;0.02833;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10677;True;CWE-129;37.395251989364624;total_tokens: 1428, completion_tokens: 505, prompt_tokens: 923;0.02438;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10676;True;CWE-393;38.64406704902649;total_tokens: 1164, completion_tokens: 645, prompt_tokens: 519;0.02454;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10126;True;CWE-129;40.01909685134888;total_tokens: 1181, completion_tokens: 478, prompt_tokens: 703;0.02137;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10755;True;CWE-129;24.949795961380005;total_tokens: 1337, completion_tokens: 444, prompt_tokens: 893;0.02225;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11015;True;CWE-129 CWE-787 CWE-400;26.660815954208374;total_tokens: 1876, completion_tokens: 540, prompt_tokens: 1336;0.02956;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11338;True;CWE-129;27.70280170440674;total_tokens: 1000, completion_tokens: 486, prompt_tokens: 514;0.01972;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10738;True;CWE-129;29.56104278564453;total_tokens: 1096, completion_tokens: 539, prompt_tokens: 557;0.021740000000000002;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11014;True;CWE-129 CWE-787 CWE-20;30.96492099761963;total_tokens: 1246, completion_tokens: 496, prompt_tokens: 750;0.022379999999999997;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11177;True;CWE-20 CWE-129;34.34483027458191;total_tokens: 1127, completion_tokens: 474, prompt_tokens: 653;0.020749999999999998;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10739;True;CWE-129 CWE-20;36.59012961387634;total_tokens: 1454, completion_tokens: 556, prompt_tokens: 898;0.025660000000000002;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11339;True;CWE-129 CWE-20;37.35373520851135;total_tokens: 1409, completion_tokens: 478, prompt_tokens: 931;0.023649999999999997;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11176;True;CWE-129 CWE-20;40.5884964466095;total_tokens: 1067, completion_tokens: 539, prompt_tokens: 528;0.02145;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J10754;True;CWE-129;75.49229717254639;total_tokens: 1020, completion_tokens: 503, prompt_tokens: 517;0.02026;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11558;True;CWE-129 CWE-20;24.997151851654053;total_tokens: 983, completion_tokens: 433, prompt_tokens: 550;0.01849;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11608;True;CWE-129;28.01531434059143;total_tokens: 1030, completion_tokens: 468, prompt_tokens: 562;0.01966;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11559;True;CWE-129 CWE-20;30.22056221961975;total_tokens: 1432, completion_tokens: 435, prompt_tokens: 997;0.02302;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J11609;True;CWE-129 CWE-20;35.43342423439026;total_tokens: 1542, completion_tokens: 497, prompt_tokens: 1045;0.02536;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J12753;False;;22.921334981918335;total_tokens: 1221, completion_tokens: 377, prompt_tokens: 844;0.019749999999999997;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J12224;False;;25.14376473426819;total_tokens: 860, completion_tokens: 421, prompt_tokens: 439;0.01702;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J12225;False;;28.553457021713257;total_tokens: 1146, completion_tokens: 361, prompt_tokens: 785;0.018680000000000002;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J12499;False;;30.973783493041992;total_tokens: 1497, completion_tokens: 403, prompt_tokens: 1094;0.023030000000000002;2024-03-21
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_lf;J12326;True;CWE-200 CWE-390;32.2951762676239;total_tokens: 1223, completion_tokens: 602, prompt_tokens: 621;0.02427;2024-03-21
