llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J11608;True;CWE-129 CWE-20;27.11471390724182;total_tokens: 1062, completion_tokens: 517, prompt_tokens: 545;0.02096;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J11608;True;CWE-129 CWE-20 CWE-532;90.00881242752075;total_tokens: 4789, completion_tokens: 1342, prompt_tokens: 3447;0.07472999999999999;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J11608;True;CWE-129 CWE-20;50.552971839904785;total_tokens: 4192, completion_tokens: 1060, prompt_tokens: 3132;0.06312;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10677;False;;22.747453927993774;total_tokens: 1425, completion_tokens: 519, prompt_tokens: 906;0.02463;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10126;True;CWE-129 CWE-20 CWE-400;26.823151350021362;total_tokens: 1123, completion_tokens: 437, prompt_tokens: 686;0.01997;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10127;True;CWE-20 CWE-129;28.80128812789917;total_tokens: 1278, completion_tokens: 477, prompt_tokens: 801;0.02232;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10531;False;;29.51751446723938;total_tokens: 1856, completion_tokens: 642, prompt_tokens: 1214;0.0314;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10530;False;;58.708611726760864;total_tokens: 1290, completion_tokens: 616, prompt_tokens: 674;0.02522;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10676;True;CWE-129;62.4080970287323;total_tokens: 979, completion_tokens: 477, prompt_tokens: 502;0.01933;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10677;False;;70.50147151947021;total_tokens: 5697, completion_tokens: 1253, prompt_tokens: 4444;0.08202999999999999;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10127;True;CWE-20 CWE-129 CWE-20 CWE-200;72.40099763870239;total_tokens: 5367, completion_tokens: 1314, prompt_tokens: 4053;0.07995;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10126;True;CWE-129 CWE-20 CWE-400;80.58826494216919;total_tokens: 4831, completion_tokens: 1229, prompt_tokens: 3602;0.07289000000000001;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10677;False;;34.752806663513184;total_tokens: 4831, completion_tokens: 768, prompt_tokens: 4063;0.06367;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10676;True;CWE-129 CWE-20;92.9982361793518;total_tokens: 4377, completion_tokens: 1217, prompt_tokens: 3160;0.06811;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10531;True;CWE-129 CWE-532;94.06061816215515;total_tokens: 7100, completion_tokens: 1441, prompt_tokens: 5659;0.09981999999999999;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10127;True;CWE-20;52.399197816848755;total_tokens: 4443, completion_tokens: 781, prompt_tokens: 3662;0.06005;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve;J10530;False;;106.69692921638489;total_tokens: 5189, completion_tokens: 1310, prompt_tokens: 3879;0.07808999999999999;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10676;True;CWE-20;80.0024631023407;total_tokens: 3494, completion_tokens: 766, prompt_tokens: 2728;0.05026;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10531;True;CWE-129;46.89221692085266;total_tokens: 6177, completion_tokens: 953, prompt_tokens: 5224;0.08083;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10126;True;CWE-129 CWE-20;61.38181519508362;total_tokens: 4061, completion_tokens: 838, prompt_tokens: 3223;0.057370000000000004;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci_improve_short;J10530;False;;77.29301190376282;total_tokens: 4495, completion_tokens: 963, prompt_tokens: 3532;0.06421;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10754;True;CWE-129 CWE-807;20.45862340927124;total_tokens: 961, completion_tokens: 461, prompt_tokens: 500;0.01883;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J11015;True;CWE-129 CWE-400 CWE-22;23.1872878074646;total_tokens: 1879, completion_tokens: 560, prompt_tokens: 1319;0.029990000000000003;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10755;True;CWE-20 CWE-209;23.70234227180481;total_tokens: 1404, completion_tokens: 528, prompt_tokens: 876;0.0246;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J11176;True;CWE-129 CWE-20 CWE-200;24.669222354888916;total_tokens: 1058, completion_tokens: 547, prompt_tokens: 511;0.02152;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_prompt_rci;J10738;True;CWE-129 CWE-807 CWE-20;24.985870599746704;total_tokens: 1020, completion_tokens: 480, prompt_tokens: 540;0.019799999999999998;2024-02-16
