llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11609;True;CWE-807;2.605898380279541;total_tokens: 3241, completion_tokens: 48, prompt_tokens: 3193;0.03337;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10677;True;CWE-129;2.4312663078308105;total_tokens: 3115, completion_tokens: 44, prompt_tokens: 3071;0.03203;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10530;True;CWE-129;2.572610855102539;total_tokens: 2888, completion_tokens: 49, prompt_tokens: 2839;0.029859999999999998;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10127;True;CWE-129;2.83886981010437;total_tokens: 3022, completion_tokens: 56, prompt_tokens: 2966;0.03134;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10531;True;CWE-129;4.079833507537842;total_tokens: 3426, completion_tokens: 47, prompt_tokens: 3379;0.0352;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10126;True;CWE-129;4.16649603843689;total_tokens: 2902, completion_tokens: 51, prompt_tokens: 2851;0.03004;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10676;True;CWE-129;4.237096309661865;total_tokens: 2711, completion_tokens: 44, prompt_tokens: 2667;0.027989999999999998;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10755;True;CWE-129;2.392575740814209;total_tokens: 3088, completion_tokens: 47, prompt_tokens: 3041;0.03182;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11014;True;CWE-129;2.423016309738159;total_tokens: 2950, completion_tokens: 52, prompt_tokens: 2898;0.03054;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10739;True;CWE-129;2.456261396408081;total_tokens: 3104, completion_tokens: 58, prompt_tokens: 3046;0.0322;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11339;True;CWE-129;2.7919015884399414;total_tokens: 3122, completion_tokens: 43, prompt_tokens: 3079;0.032080000000000004;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11015;True;CWE-129;2.9616668224334717;total_tokens: 3525, completion_tokens: 41, prompt_tokens: 3484;0.036070000000000005;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11338;True;CWE-129;2.968808174133301;total_tokens: 2713, completion_tokens: 51, prompt_tokens: 2662;0.02815;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11176;True;CWE-129;4.020952463150024;total_tokens: 2729, completion_tokens: 53, prompt_tokens: 2676;0.028350000000000004;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10754;True;CWE-129;4.3388848304748535;total_tokens: 2722, completion_tokens: 57, prompt_tokens: 2665;0.02836;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J10738;True;CWE-129;4.4523913860321045;total_tokens: 2761, completion_tokens: 56, prompt_tokens: 2705;0.028730000000000002;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11177;True;CWE-129;4.7356343269348145;total_tokens: 2850, completion_tokens: 49, prompt_tokens: 2801;0.029480000000000003;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11608;True;CWE-129;2.385444402694702;total_tokens: 2767, completion_tokens: 57, prompt_tokens: 2710;0.02881;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11558;True;CWE-129;2.4933922290802;total_tokens: 2744, completion_tokens: 46, prompt_tokens: 2698;0.02836;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J11559;True;CWE-129;3.2520387172698975;total_tokens: 3188, completion_tokens: 43, prompt_tokens: 3145;0.03274;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12290;True;CWE-22;1.7130959033966064;total_tokens: 2812, completion_tokens: 38, prompt_tokens: 2774;0.02888;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12224;True;CWE-129;1.8241798877716064;total_tokens: 2627, completion_tokens: 40, prompt_tokens: 2587;0.027070000000000004;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12225;True;CWE-129;1.8448898792266846;total_tokens: 2973, completion_tokens: 40, prompt_tokens: 2933;0.030529999999999998;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12291;True;CWE-22;1.8798298835754395;total_tokens: 3295, completion_tokens: 41, prompt_tokens: 3254;0.03377;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12752;False;;2.0461692810058594;total_tokens: 2636, completion_tokens: 16, prompt_tokens: 2620;0.026680000000000002;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12753;True;CWE-129;3.656367301940918;total_tokens: 3041, completion_tokens: 49, prompt_tokens: 2992;0.03139;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12326;True;CWE-129;3.646979331970215;total_tokens: 2821, completion_tokens: 52, prompt_tokens: 2769;0.02925;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12498;True;CWE-22 CWE-129;4.665168762207031;total_tokens: 2886, completion_tokens: 87, prompt_tokens: 2799;0.030600000000000002;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12499;True;CWE-22;5.1527321338653564;total_tokens: 3283, completion_tokens: 41, prompt_tokens: 3242;0.03365;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12327;True;CWE-129;7.700020790100098;total_tokens: 2931, completion_tokens: 47, prompt_tokens: 2884;0.030250000000000003;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12930;True;CWE-129;2.058347463607788;total_tokens: 2647, completion_tokens: 54, prompt_tokens: 2593;0.02755;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J13101;True;CWE-129;2.338636875152588;total_tokens: 3472, completion_tokens: 63, prompt_tokens: 3409;0.035980000000000005;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J12931;True;CWE-129;2.7031686305999756;total_tokens: 2984, completion_tokens: 56, prompt_tokens: 2928;0.03096;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J13100;True;CWE-129;3.53023099899292;total_tokens: 2904, completion_tokens: 49, prompt_tokens: 2855;0.030019999999999998;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14375;True;CWE-190;1.8993663787841797;total_tokens: 3056, completion_tokens: 35, prompt_tokens: 3021;0.03126;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14350;True;CWE-190;2.10517954826355;total_tokens: 2699, completion_tokens: 41, prompt_tokens: 2658;0.027809999999999998;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14351;True;CWE-190;2.63173508644104;total_tokens: 2857, completion_tokens: 38, prompt_tokens: 2819;0.02933;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14374;True;CWE-190;4.071801424026489;total_tokens: 2686, completion_tokens: 49, prompt_tokens: 2637;0.02784;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14944;True;CWE-22;1.71885085105896;total_tokens: 2807, completion_tokens: 40, prompt_tokens: 2767;0.02887;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14729;True;CWE-190;2.3774478435516357;total_tokens: 3599, completion_tokens: 38, prompt_tokens: 3561;0.036750000000000005;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14945;True;CWE-22;2.824810743331909;total_tokens: 3317, completion_tokens: 41, prompt_tokens: 3276;0.03399;2024-03-08
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot_many;J14728;True;CWE-190;4.254775047302246;total_tokens: 2961, completion_tokens: 54, prompt_tokens: 2907;0.030690000000000002;2024-03-08
