llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10677;True;CWE-129;4.934823274612427;total_tokens: 825, completion_tokens: 48, prompt_tokens: 777;0.009210000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10531;True;CWE-89;6.080188035964966;total_tokens: 1134, completion_tokens: 49, prompt_tokens: 1085;0.012320000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10676;True;CWE-129;6.221672534942627;total_tokens: 422, completion_tokens: 49, prompt_tokens: 373;0.005200000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10126;True;CWE-129;6.320026636123657;total_tokens: 624, completion_tokens: 67, prompt_tokens: 557;0.00758;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10677;True;CWE-129;10.594023942947388;total_tokens: 1818, completion_tokens: 125, prompt_tokens: 1693;0.020680000000000004;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10676;True;CWE-129;12.121716260910034;total_tokens: 999, completion_tokens: 113, prompt_tokens: 886;0.01225;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10127;True;CWE-129 CWE-20;12.24779748916626;total_tokens: 778, completion_tokens: 106, prompt_tokens: 672;0.009899999999999999;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10531;False;;12.740586996078491;total_tokens: 2436, completion_tokens: 126, prompt_tokens: 2310;0.02688;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10530;True;CWE-129;18.052410364151;total_tokens: 611, completion_tokens: 66, prompt_tokens: 545;0.00743;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10530;True;CWE-129;25.6084988117218;total_tokens: 1410, completion_tokens: 163, prompt_tokens: 1247;0.01736;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10127;True;CWE-129 CWE-20;26.634631872177124;total_tokens: 1790, completion_tokens: 249, prompt_tokens: 1541;0.022879999999999998;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10126;True;CWE-129;27.092944860458374;total_tokens: 1429, completion_tokens: 157, prompt_tokens: 1272;0.01743;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11176;True;CWE-129;3.823403835296631;total_tokens: 431, completion_tokens: 49, prompt_tokens: 382;0.00529;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11014;True;CWE-400;4.530347108840942;total_tokens: 657, completion_tokens: 53, prompt_tokens: 604;0.00763;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11338;True;CWE-129;4.920886993408203;total_tokens: 419, completion_tokens: 51, prompt_tokens: 368;0.00521;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10738;True;CWE-129;6.543697834014893;total_tokens: 460, completion_tokens: 49, prompt_tokens: 411;0.00558;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10754;True;CWE-129;6.574831247329712;total_tokens: 421, completion_tokens: 50, prompt_tokens: 371;0.00521;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11177;True;CWE-20;7.102057218551636;total_tokens: 569, completion_tokens: 62, prompt_tokens: 507;0.0069299999999999995;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10755;True;CWE-129;9.25;total_tokens: 795, completion_tokens: 48, prompt_tokens: 747;0.00891;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11014;True;CWE-400;9.40690016746521;total_tokens: 1469, completion_tokens: 117, prompt_tokens: 1352;0.01703;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11176;True;CWE-129;9.701679706573486;total_tokens: 1028, completion_tokens: 124, prompt_tokens: 904;0.01276;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J10739;True;CWE-129 CWE-807;10.48763108253479;total_tokens: 858, completion_tokens: 106, prompt_tokens: 752;0.0107;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11339;True;CWE-20;10.615804433822632;total_tokens: 846, completion_tokens: 61, prompt_tokens: 785;0.00968;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10738;True;CWE-129;11.398386478424072;total_tokens: 1076, completion_tokens: 114, prompt_tokens: 962;0.01304;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11338;True;CWE-129;11.832995653152466;total_tokens: 1000, completion_tokens: 122, prompt_tokens: 878;0.01244;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11177;True;CWE-20;15.644920587539673;total_tokens: 1312, completion_tokens: 145, prompt_tokens: 1167;0.01602;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10755;True;CWE-129;16.208383083343506;total_tokens: 1774, completion_tokens: 141, prompt_tokens: 1633;0.02056;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10754;True;CWE-129;17.713918209075928;total_tokens: 993, completion_tokens: 110, prompt_tokens: 883;0.01213;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11339;True;CWE-20;19.228662490844727;total_tokens: 1868, completion_tokens: 146, prompt_tokens: 1722;0.0216;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J10739;True;CWE-807 CWE-129;23.372737884521484;total_tokens: 1928, completion_tokens: 227, prompt_tokens: 1701;0.02382;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11015;True;CWE-22 CWE-129 CWE-20 CWE-400;25.464056730270386;total_tokens: 1439, completion_tokens: 249, prompt_tokens: 1190;0.019370000000000002;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11015;True;CWE-129 CWE-22 CWE-20 CWE-400;74.68846988677979;total_tokens: 3214, completion_tokens: 494, prompt_tokens: 2720;0.04202;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11608;True;CWE-129;5.295449733734131;total_tokens: 464, completion_tokens: 48, prompt_tokens: 416;0.0056;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11559;True;CWE-20;5.945174694061279;total_tokens: 903, completion_tokens: 52, prompt_tokens: 851;0.01007;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11558;True;CWE-20;6.808843612670898;total_tokens: 450, completion_tokens: 46, prompt_tokens: 404;0.00542;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J11609;True;CWE-129 CWE-20;7.654430627822876;total_tokens: 996, completion_tokens: 97, prompt_tokens: 899;0.0119;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11608;True;CWE-129;12.312848567962646;total_tokens: 1086, completion_tokens: 115, prompt_tokens: 971;0.01316;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11559;True;CWE-20;12.858455896377563;total_tokens: 1959, completion_tokens: 114, prompt_tokens: 1845;0.02187;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11558;True;CWE-20;13.197661399841309;total_tokens: 1062, completion_tokens: 117, prompt_tokens: 945;0.01296;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J11609;True;CWE-20 CWE-129;25.331245183944702;total_tokens: 2217, completion_tokens: 231, prompt_tokens: 1986;0.02679;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12224;True;CWE-129;4.990896940231323;total_tokens: 352, completion_tokens: 59, prompt_tokens: 293;0.0047;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12753;True;CWE-338;5.100193500518799;total_tokens: 754, completion_tokens: 56, prompt_tokens: 698;0.008660000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12752;True;CWE-129;5.625284671783447;total_tokens: 375, completion_tokens: 49, prompt_tokens: 326;0.004730000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12225;True;CWE-129;8.837653636932373;total_tokens: 730, completion_tokens: 91, prompt_tokens: 639;0.009120000000000001;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12291;True;CWE-22;9.570296049118042;total_tokens: 1037, completion_tokens: 77, prompt_tokens: 960;0.01191;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12753;False;;9.869450092315674;total_tokens: 1645, completion_tokens: 102, prompt_tokens: 1543;0.01849;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12752;True;CWE-129;13.069747924804688;total_tokens: 908, completion_tokens: 116, prompt_tokens: 792;0.0114;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12291;False;;15.839218378067017;total_tokens: 2225, completion_tokens: 137, prompt_tokens: 2088;0.02499;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12499;True;CWE-22 CWE-20 CWE-404;16.21884846687317;total_tokens: 1151, completion_tokens: 203, prompt_tokens: 948;0.01557;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12225;False;;16.308154344558716;total_tokens: 1643, completion_tokens: 183, prompt_tokens: 1460;0.020090000000000004;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12327;True;CWE-22 CWE-129 CWE-20;18.290040254592896;total_tokens: 782, completion_tokens: 192, prompt_tokens: 590;0.01166;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12224;True;CWE-129;18.96338415145874;total_tokens: 869, completion_tokens: 133, prompt_tokens: 736;0.011349999999999999;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12326;True;CWE-22 CWE-129 CWE-20;20.18498182296753;total_tokens: 695, completion_tokens: 220, prompt_tokens: 475;0.01135;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12498;True;CWE-190 CWE-22 CWE-129;20.97277021408081;total_tokens: 728, completion_tokens: 223, prompt_tokens: 505;0.011739999999999999;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12327;True;CWE-22 CWE-129 CWE-20;36.59371566772461;total_tokens: 1892, completion_tokens: 429, prompt_tokens: 1463;0.0275;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12498;True;CWE-22 CWE-190 CWE-129;37.92572355270386;total_tokens: 1783, completion_tokens: 459, prompt_tokens: 1324;0.02701;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short;J12290;True;CWE-129 CWE-22 CWE-197 CWE-476;41.87536644935608;total_tokens: 777, completion_tokens: 297, prompt_tokens: 480;0.013710000000000002;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_rci_short_improve;J12326;True;CWE-22 CWE-129;45.088279724121094;total_tokens: 1763, completion_tokens: 502, prompt_tokens: 1261;0.02767;2024-02-08
