llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10531;True;CWE-89 CWE-129;7.541535377502441;total_tokens: 1469, completion_tokens: 233, prompt_tokens: 1236;0.051059999999999994;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10530;True;CWE-89 CWE-129;10.385778427124023;total_tokens: 929, completion_tokens: 233, prompt_tokens: 696;0.03486;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10127;True;CWE-20 CWE-129 CWE-396 CWE-404;13.56607437133789;total_tokens: 1133, completion_tokens: 310, prompt_tokens: 823;0.043289999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10126;True;CWE-129;14.766636610031128;total_tokens: 1013, completion_tokens: 305, prompt_tokens: 708;0.03954;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10676;True;CWE-129;16.168011903762817;total_tokens: 860, completion_tokens: 336, prompt_tokens: 524;0.03588;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10677;True;CWE-129 CWE-807;19.164473056793213;total_tokens: 1232, completion_tokens: 304, prompt_tokens: 928;0.046079999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10754;True;CWE-129;8.791896343231201;total_tokens: 790, completion_tokens: 268, prompt_tokens: 522;0.031740000000000004;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11338;True;CWE-129;10.019479751586914;total_tokens: 775, completion_tokens: 256, prompt_tokens: 519;0.03093;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10738;True;CWE-129;10.88761019706726;total_tokens: 832, completion_tokens: 270, prompt_tokens: 562;0.03306;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11014;True;CWE-129 CWE-20;11.664202690124512;total_tokens: 1046, completion_tokens: 291, prompt_tokens: 755;0.04011;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10755;True;CWE-129 CWE-807;11.871958494186401;total_tokens: 1230, completion_tokens: 332, prompt_tokens: 898;0.04686;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11177;True;CWE-129 CWE-200;12.031363725662231;total_tokens: 1032, completion_tokens: 374, prompt_tokens: 658;0.042179999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J10739;True;CWE-129;12.522191762924194;total_tokens: 1171, completion_tokens: 268, prompt_tokens: 903;0.04317;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11015;True;CWE-129 CWE-703;13.31836223602295;total_tokens: 1643, completion_tokens: 302, prompt_tokens: 1341;0.05834999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11176;True;CWE-129;14.69424319267273;total_tokens: 809, completion_tokens: 276, prompt_tokens: 533;0.03255;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11339;True;CWE-20 CWE-129 CWE-390;16.669271230697632;total_tokens: 1300, completion_tokens: 364, prompt_tokens: 936;0.04992;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11609;True;CWE-20 CWE-129;8.359649658203125;total_tokens: 1328, completion_tokens: 278, prompt_tokens: 1050;0.04818;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11558;True;CWE-20 CWE-129;8.903880834579468;total_tokens: 848, completion_tokens: 293, prompt_tokens: 555;0.03423;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11608;True;CWE-129;12.145673036575317;total_tokens: 800, completion_tokens: 233, prompt_tokens: 567;0.030989999999999997;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J11559;True;CWE-20 CWE-129 CWE-390;12.333742618560791;total_tokens: 1321, completion_tokens: 319, prompt_tokens: 1002;0.0492;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12224;True;CWE-129;5.34629225730896;total_tokens: 634, completion_tokens: 190, prompt_tokens: 444;0.02472;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12326;True;CWE-129;6.720120191574097;total_tokens: 873, completion_tokens: 247, prompt_tokens: 626;0.0336;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12225;False;;8.258488178253174;total_tokens: 1091, completion_tokens: 301, prompt_tokens: 790;0.04176;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12290;True;CWE-129;9.2652268409729;total_tokens: 966, completion_tokens: 335, prompt_tokens: 631;0.039029999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12499;True;CWE-129;9.553400993347168;total_tokens: 1355, completion_tokens: 256, prompt_tokens: 1099;0.04833;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12291;True;CWE-129 CWE-703;11.56603717803955;total_tokens: 1423, completion_tokens: 312, prompt_tokens: 1111;0.05205;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12752;False;;12.307809591293335;total_tokens: 849, completion_tokens: 372, prompt_tokens: 477;0.036629999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12753;False;;12.763500452041626;total_tokens: 1200, completion_tokens: 351, prompt_tokens: 849;0.04653;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12327;True;CWE-129 CWE-390;15.260506629943848;total_tokens: 1027, completion_tokens: 286, prompt_tokens: 741;0.039389999999999994;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12498;True;CWE-129;17.957871675491333;total_tokens: 975, completion_tokens: 319, prompt_tokens: 656;0.03882;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J13100;True;CWE-129;11.45531439781189;total_tokens: 1041, completion_tokens: 329, prompt_tokens: 712;0.0411;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12931;True;CWE-129;13.44420075416565;total_tokens: 1053, completion_tokens: 268, prompt_tokens: 785;0.03963;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J13101;True;CWE-129 CWE-311;14.15709900856018;total_tokens: 1634, completion_tokens: 368, prompt_tokens: 1266;0.06006;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J12930;True;CWE-129;17.073444604873657;total_tokens: 780, completion_tokens: 330, prompt_tokens: 450;0.0333;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14375;True;CWE-20 CWE-390;10.400269746780396;total_tokens: 1141, completion_tokens: 263, prompt_tokens: 878;0.04212;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14350;True;CWE-20 CWE-190;11.815205335617065;total_tokens: 746, completion_tokens: 231, prompt_tokens: 515;0.029310000000000003;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14351;True;CWE-20 CWE-315;11.893765211105347;total_tokens: 1028, completion_tokens: 352, prompt_tokens: 676;0.04139999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14374;True;CWE-190;13.765751838684082;total_tokens: 852, completion_tokens: 358, prompt_tokens: 494;0.0363;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14728;True;CWE-190 CWE-20;9.350877285003662;total_tokens: 976, completion_tokens: 212, prompt_tokens: 764;0.03564;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14945;True;CWE-20 CWE-190 CWE-390;11.677298069000244;total_tokens: 1425, completion_tokens: 292, prompt_tokens: 1133;0.05151;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14944;True;CWE-190;15.275322198867798;total_tokens: 942, completion_tokens: 318, prompt_tokens: 624;0.0378;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J14729;True;CWE-20 CWE-400 CWE-223;16.439144134521484;total_tokens: 1766, completion_tokens: 348, prompt_tokens: 1418;0.06341999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15376;True;CWE-20 CWE-190;7.405881643295288;total_tokens: 951, completion_tokens: 256, prompt_tokens: 695;0.03621;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15371;True;CWE-20 CWE-404 CWE-223;8.344051599502563;total_tokens: 1530, completion_tokens: 294, prompt_tokens: 1236;0.05471999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15936;True;CWE-190 CWE-20 CWE-390;9.167060375213623;total_tokens: 1127, completion_tokens: 238, prompt_tokens: 889;0.04095;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15370;True;CWE-190;13.665414571762085;total_tokens: 987, completion_tokens: 308, prompt_tokens: 679;0.038849999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15891;True;CWE-190;13.757927656173706;total_tokens: 1097, completion_tokens: 322, prompt_tokens: 775;0.04257;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15728;False;;14.24352216720581;total_tokens: 746, completion_tokens: 286, prompt_tokens: 460;0.030959999999999998;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15729;False;;14.708483219146729;total_tokens: 1147, completion_tokens: 345, prompt_tokens: 802;0.044759999999999994;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15937;True;CWE-20 CWE-190 CWE-390;15.332430362701416;total_tokens: 1316, completion_tokens: 311, prompt_tokens: 1005;0.04880999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;cot_high_level;J15890;True;CWE-120 CWE-190 CWE-20 CWE-200;15.801743268966675;total_tokens: 1030, completion_tokens: 380, prompt_tokens: 650;0.042300000000000004;2024-03-22
