llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10531;True;CWE-89;8.22106385231018;total_tokens: 1421, completion_tokens: 258, prompt_tokens: 1163;0.05037;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10530;True;CWE-129;9.317216157913208;total_tokens: 848, completion_tokens: 225, prompt_tokens: 623;0.032189999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10676;True;CWE-129;10.851560354232788;total_tokens: 663, completion_tokens: 212, prompt_tokens: 451;0.02625;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10126;True;CWE-129;11.391047477722168;total_tokens: 831, completion_tokens: 196, prompt_tokens: 635;0.03081;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10127;True;CWE-129;11.738385438919067;total_tokens: 1048, completion_tokens: 298, prompt_tokens: 750;0.04038;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10677;True;CWE-129;13.01076602935791;total_tokens: 1220, completion_tokens: 365, prompt_tokens: 855;0.047549999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11176;True;CWE-129;5.934843301773071;total_tokens: 639, completion_tokens: 179, prompt_tokens: 460;0.02454;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11338;True;CWE-129;6.5086939334869385;total_tokens: 642, completion_tokens: 196, prompt_tokens: 446;0.02514;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10738;True;CWE-129;6.647243022918701;total_tokens: 697, completion_tokens: 208, prompt_tokens: 489;0.02715;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10755;True;CWE-129;10.342711687088013;total_tokens: 1137, completion_tokens: 312, prompt_tokens: 825;0.043469999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10754;True;CWE-129;11.295671701431274;total_tokens: 652, completion_tokens: 203, prompt_tokens: 449;0.02565;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11339;True;CWE-129;11.288597822189331;total_tokens: 1070, completion_tokens: 207, prompt_tokens: 863;0.03831;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11014;True;CWE-129;11.878968477249146;total_tokens: 912, completion_tokens: 230, prompt_tokens: 682;0.03426;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11177;True;CWE-129;13.720921754837036;total_tokens: 928, completion_tokens: 343, prompt_tokens: 585;0.03813;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10739;True;CWE-129;13.766095876693726;total_tokens: 1176, completion_tokens: 346, prompt_tokens: 830;0.04565999999999999;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11015;True;CWE-129;13.95352554321289;total_tokens: 1523, completion_tokens: 255, prompt_tokens: 1268;0.05334;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11558;True;CWE-129;7.578840494155884;total_tokens: 697, completion_tokens: 215, prompt_tokens: 482;0.02736;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11609;True;CWE-129;7.685301303863525;total_tokens: 1167, completion_tokens: 190, prompt_tokens: 977;0.040709999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11608;True;CWE-129;8.703183889389038;total_tokens: 688, completion_tokens: 194, prompt_tokens: 494;0.026459999999999997;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J11559;True;CWE-129;11.684432983398438;total_tokens: 1234, completion_tokens: 305, prompt_tokens: 929;0.04617;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12326;True;CWE-129;7.038748264312744;total_tokens: 750, completion_tokens: 197, prompt_tokens: 553;0.02841;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12224;True;CWE-129;7.646062612533569;total_tokens: 585, completion_tokens: 214, prompt_tokens: 371;0.023969999999999998;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12225;True;CWE-129;7.8963189125061035;total_tokens: 986, completion_tokens: 269, prompt_tokens: 717;0.03765;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12327;True;CWE-20;7.909847259521484;total_tokens: 938, completion_tokens: 270, prompt_tokens: 668;0.036239999999999994;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12753;True;CWE-129;8.511058568954468;total_tokens: 1014, completion_tokens: 238, prompt_tokens: 776;0.037559999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12498;True;CWE-129;8.617530107498169;total_tokens: 776, completion_tokens: 193, prompt_tokens: 583;0.02907;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12499;True;CWE-129;8.654907703399658;total_tokens: 1232, completion_tokens: 206, prompt_tokens: 1026;0.04314;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12290;True;CWE-129;10.665974378585815;total_tokens: 817, completion_tokens: 259, prompt_tokens: 558;0.03228;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12752;True;CWE-129;10.682328939437866;total_tokens: 647, completion_tokens: 243, prompt_tokens: 404;0.0267;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12291;True;CWE-129;11.847580432891846;total_tokens: 1325, completion_tokens: 287, prompt_tokens: 1038;0.04836;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12930;True;CWE-129;8.201546669006348;total_tokens: 595, completion_tokens: 218, prompt_tokens: 377;0.02439;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J12931;True;CWE-129;10.433526039123535;total_tokens: 927, completion_tokens: 215, prompt_tokens: 712;0.03426;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J13101;True;CWE-129;10.431536436080933;total_tokens: 1432, completion_tokens: 239, prompt_tokens: 1193;0.05013;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J13100;True;CWE-400;12.817127704620361;total_tokens: 899, completion_tokens: 260, prompt_tokens: 639;0.034769999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14350;True;CWE-20;5.257640600204468;total_tokens: 623, completion_tokens: 181, prompt_tokens: 442;0.02412;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14351;True;CWE-20;8.160099744796753;total_tokens: 846, completion_tokens: 243, prompt_tokens: 603;0.03267;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14375;True;CWE-20;10.368242263793945;total_tokens: 1111, completion_tokens: 306, prompt_tokens: 805;0.04251;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14374;True;CWE-190;12.681800365447998;total_tokens: 675, completion_tokens: 254, prompt_tokens: 421;0.02787;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14944;True;CWE-20;6.139710903167725;total_tokens: 764, completion_tokens: 213, prompt_tokens: 551;0.02931;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14945;True;CWE-20;8.049031019210815;total_tokens: 1344, completion_tokens: 284, prompt_tokens: 1060;0.048839999999999995;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14728;True;CWE-190;9.407806158065796;total_tokens: 919, completion_tokens: 228, prompt_tokens: 691;0.034409999999999996;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J14729;True;CWE-20;13.763718366622925;total_tokens: 1664, completion_tokens: 319, prompt_tokens: 1345;0.05949;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J15728;False;;7.433217763900757;total_tokens: 602, completion_tokens: 215, prompt_tokens: 387;0.02451;2024-03-22
gpt-4-0613;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J15890;True;CWE-190;8.349822759628296;total_tokens: 794, completion_tokens: 217, prompt_tokens: 577;0.030329999999999996;2024-03-22
