llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11608;True;CWE-129;24.135034799575806;total_tokens: 1044, completion_tokens: 477, prompt_tokens: 567;0.019979999999999998;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10127;True;CWE-129 CWE-20 CWE-390;16.43668246269226;total_tokens: 1312, completion_tokens: 489, prompt_tokens: 823;0.022899999999999997;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10126;True;CWE-129 CWE-20;22.44030785560608;total_tokens: 1152, completion_tokens: 444, prompt_tokens: 708;0.0204;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10531;True;CWE-89 CWE-20 CWE-209;23.803266048431396;total_tokens: 1744, completion_tokens: 508, prompt_tokens: 1236;0.0276;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10530;True;CWE-129 CWE-754 CWE-390;28.104978561401367;total_tokens: 1242, completion_tokens: 546, prompt_tokens: 696;0.023340000000000003;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10676;True;CWE-129 CWE-20 CWE-390;28.412034273147583;total_tokens: 1042, completion_tokens: 518, prompt_tokens: 524;0.02078;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10677;True;CWE-129 CWE-20;29.336851596832275;total_tokens: 1442, completion_tokens: 514, prompt_tokens: 928;0.0247;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11338;True;CWE-129 CWE-20;15.33013105392456;total_tokens: 1034, completion_tokens: 515, prompt_tokens: 519;0.02064;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10739;True;CWE-129 CWE-20;19.35619020462036;total_tokens: 1390, completion_tokens: 487, prompt_tokens: 903;0.02364;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10754;True;CWE-129 CWE-20;20.052061557769775;total_tokens: 1039, completion_tokens: 517, prompt_tokens: 522;0.02073;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11015;True;CWE-129 CWE-20 CWE-390 CWE-561;20.189039707183838;total_tokens: 1826, completion_tokens: 485, prompt_tokens: 1341;0.02796;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11177;True;CWE-129 CWE-20;20.85959815979004;total_tokens: 1249, completion_tokens: 591, prompt_tokens: 658;0.02431;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11176;True;CWE-129 CWE-20 CWE-755;22.81270718574524;total_tokens: 1010, completion_tokens: 477, prompt_tokens: 533;0.019639999999999998;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10755;True;CWE-129 CWE-20 CWE-754;23.932413578033447;total_tokens: 1431, completion_tokens: 533, prompt_tokens: 898;0.02497;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11339;True;CWE-129 CWE-20;26.448614358901978;total_tokens: 1467, completion_tokens: 531, prompt_tokens: 936;0.02529;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11014;True;CWE-129 CWE-390 CWE-476;27.417688131332397;total_tokens: 1292, completion_tokens: 537, prompt_tokens: 755;0.02366;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J10738;True;CWE-129 CWE-20;28.218051433563232;total_tokens: 1049, completion_tokens: 487, prompt_tokens: 562;0.02023;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11558;True;CWE-129;19.856255531311035;total_tokens: 1048, completion_tokens: 493, prompt_tokens: 555;0.02034;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11559;True;CWE-129 CWE-20;23.61237597465515;total_tokens: 1492, completion_tokens: 490, prompt_tokens: 1002;0.02472;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J11609;True;CWE-129 CWE-20 CWE-755;25.149385452270508;total_tokens: 1593, completion_tokens: 543, prompt_tokens: 1050;0.02679;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J12224;True;CWE-129;16.28872561454773;total_tokens: 971, completion_tokens: 527, prompt_tokens: 444;0.02025;2024-02-16
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level;J12753;True;CWE-129;18.0020649433136;total_tokens: 1349, completion_tokens: 500, prompt_tokens: 849;0.023489999999999997;2024-02-16
