llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J24809;True;CWE-200 CWE-89;26.75747323036194;total_tokens: 1199, completion_tokens: 393, prompt_tokens: 806;0.019850000000000003;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J24809;False;;83.78721380233765;total_tokens: 5324, completion_tokens: 1258, prompt_tokens: 4066;0.0784;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J24808;True;CWE-89;11.613600492477417;total_tokens: 721, completion_tokens: 172, prompt_tokens: 549;0.01065;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J24808;True;CWE-89;58.89346766471863;total_tokens: 3317, completion_tokens: 700, prompt_tokens: 2617;0.047170000000000004;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J25094;True;CWE-89;16.969521284103394;total_tokens: 954, completion_tokens: 195, prompt_tokens: 759;0.01344;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J25094;True;CWE-89;70.56418132781982;total_tokens: 4184, completion_tokens: 813, prompt_tokens: 3371;0.0581;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10127;True;CWE-129 CWE-20;20.82940149307251;total_tokens: 1079, completion_tokens: 315, prompt_tokens: 764;0.01709;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10676;True;CWE-129;20.9675030708313;total_tokens: 726, completion_tokens: 261, prompt_tokens: 465;0.012480000000000002;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10530;True;CWE-129;22.8260395526886;total_tokens: 892, completion_tokens: 255, prompt_tokens: 637;0.01402;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10126;True;CWE-129;24.434290170669556;total_tokens: 901, completion_tokens: 252, prompt_tokens: 649;0.014050000000000002;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10531;True;CWE-89 CWE-20;27.093353271484375;total_tokens: 1596, completion_tokens: 419, prompt_tokens: 1177;0.02434;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci;J10677;True;CWE-129 CWE-20;36.36441493034363;total_tokens: 1245, completion_tokens: 376, prompt_tokens: 869;0.019969999999999998;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J10676;True;CWE-129;69.71498799324036;total_tokens: 3516, completion_tokens: 877, prompt_tokens: 2639;0.0527;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J10530;True;CWE-129;71.94050908088684;total_tokens: 4221, completion_tokens: 978, prompt_tokens: 3243;0.06176999999999999;2024-02-08
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_improved_rci_improve;J10127;True;CWE-129 CWE-20;73.00309085845947;total_tokens: 4972, completion_tokens: 1181, prompt_tokens: 3791;0.07334;2024-02-08
