llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J20841;True;CWE-78;17.72530460357666;total_tokens: 711, completion_tokens: 264, prompt_tokens: 447;0.01239;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J20841;False;;73.09728646278381;total_tokens: 3459, completion_tokens: 906, prompt_tokens: 2553;0.05271000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10126;True;CWE-129;31.059608936309814;total_tokens: 1002, completion_tokens: 353, prompt_tokens: 649;0.017079999999999998;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10677;True;CWE-129;31.36643075942993;total_tokens: 1243, completion_tokens: 374, prompt_tokens: 869;0.019909999999999997;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10127;True;CWE-129;32.49269723892212;total_tokens: 1117, completion_tokens: 353, prompt_tokens: 764;0.01823;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10676;True;CWE-129;34.106801986694336;total_tokens: 812, completion_tokens: 347, prompt_tokens: 465;0.01506;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci;J10531;True;CWE-129;50.52198505401611;total_tokens: 1627, completion_tokens: 450, prompt_tokens: 1177;0.02527;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10676;True;CWE-129;87.30138897895813;total_tokens: 3600, completion_tokens: 910, prompt_tokens: 2690;0.054200000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10126;True;CWE-129;88.31322956085205;total_tokens: 4388, completion_tokens: 1045, prompt_tokens: 3343;0.06478;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;dataflow_analysis_prompt_rci_improve;J10677;True;CWE-129;92.20010328292847;total_tokens: 4923, completion_tokens: 961, prompt_tokens: 3962;0.06845;2024-02-05
