llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10677;True;CWE-129;2.308922529220581;total_tokens: 1154, completion_tokens: 43, prompt_tokens: 1111;0.0124;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10530;True;CWE-129;2.6477174758911133;total_tokens: 926, completion_tokens: 47, prompt_tokens: 879;0.0102;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10531;True;CWE-129;3.156907081604004;total_tokens: 1460, completion_tokens: 41, prompt_tokens: 1419;0.015420000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10676;True;CWE-129;3.599290609359741;total_tokens: 753, completion_tokens: 46, prompt_tokens: 707;0.00845;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10126;True;CWE-129;3.639207124710083;total_tokens: 939, completion_tokens: 48, prompt_tokens: 891;0.01035;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10127;True;CWE-129;3.954230546951294;total_tokens: 1059, completion_tokens: 53, prompt_tokens: 1006;0.011649999999999999;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10738;True;CWE-129;1.8870854377746582;total_tokens: 786, completion_tokens: 41, prompt_tokens: 745;0.00868;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11177;True;CWE-129;2.084212064743042;total_tokens: 887, completion_tokens: 46, prompt_tokens: 841;0.009789999999999998;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11338;True;CWE-129;2.1842453479766846;total_tokens: 748, completion_tokens: 46, prompt_tokens: 702;0.0084;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11176;True;CWE-129;3.6332485675811768;total_tokens: 762, completion_tokens: 46, prompt_tokens: 716;0.008539999999999999;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11339;True;CWE-129;3.6360924243927;total_tokens: 1165, completion_tokens: 46, prompt_tokens: 1119;0.01257;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10754;True;CWE-129;3.852931261062622;total_tokens: 771, completion_tokens: 66, prompt_tokens: 705;0.00903;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10755;True;CWE-129;3.8489952087402344;total_tokens: 1127, completion_tokens: 46, prompt_tokens: 1081;0.01219;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11015;True;CWE-129;3.8512635231018066;total_tokens: 1567, completion_tokens: 43, prompt_tokens: 1524;0.01653;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J10739;True;CWE-129;4.323684930801392;total_tokens: 1132, completion_tokens: 46, prompt_tokens: 1086;0.012240000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11014;True;CWE-129;6.5859291553497314;total_tokens: 992, completion_tokens: 54, prompt_tokens: 938;0.011;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11558;True;CWE-787;3.231727123260498;total_tokens: 784, completion_tokens: 46, prompt_tokens: 738;0.00876;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11609;True;CWE-20;3.399224042892456;total_tokens: 1277, completion_tokens: 44, prompt_tokens: 1233;0.01365;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11608;True;CWE-129;3.6420469284057617;total_tokens: 796, completion_tokens: 46, prompt_tokens: 750;0.008879999999999999;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J11559;True;CWE-20;4.075872182846069;total_tokens: 1237, completion_tokens: 52, prompt_tokens: 1185;0.013410000000000002;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12752;False;;1.3870849609375;total_tokens: 676, completion_tokens: 16, prompt_tokens: 660;0.007080000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12225;True;CWE-129;1.6928737163543701;total_tokens: 1013, completion_tokens: 40, prompt_tokens: 973;0.01093;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12498;True;CWE-129;1.8568458557128906;total_tokens: 891, completion_tokens: 52, prompt_tokens: 839;0.00995;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12291;True;CWE-22;1.941744327545166;total_tokens: 1333, completion_tokens: 39, prompt_tokens: 1294;0.014110000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12290;True;CWE-22;2.7172939777374268;total_tokens: 856, completion_tokens: 42, prompt_tokens: 814;0.0094;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12326;True;CWE-129;2.885709524154663;total_tokens: 861, completion_tokens: 52, prompt_tokens: 809;0.00965;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12224;True;CWE-129;2.9108660221099854;total_tokens: 689, completion_tokens: 62, prompt_tokens: 627;0.00813;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12753;True;CWE-129;3.1758103370666504;total_tokens: 1098, completion_tokens: 66, prompt_tokens: 1032;0.012300000000000002;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12327;True;CWE-129;4.401485443115234;total_tokens: 978, completion_tokens: 54, prompt_tokens: 924;0.01086;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12499;True;CWE-22;5.607243061065674;total_tokens: 1326, completion_tokens: 44, prompt_tokens: 1282;0.01414;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12930;True;CWE-129;3.390744686126709;total_tokens: 682, completion_tokens: 49, prompt_tokens: 633;0.0078000000000000005;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J12931;True;CWE-129;4.503191709518433;total_tokens: 1059, completion_tokens: 91, prompt_tokens: 968;0.01241;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J13101;True;CWE-129;5.213775157928467;total_tokens: 1497, completion_tokens: 48, prompt_tokens: 1449;0.01593;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J13100;True;CWE-129;5.3176655769348145;total_tokens: 949, completion_tokens: 54, prompt_tokens: 895;0.01057;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14374;True;CWE-190;2.0522067546844482;total_tokens: 725, completion_tokens: 48, prompt_tokens: 677;0.00821;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14350;True;CWE-190;2.398838996887207;total_tokens: 737, completion_tokens: 39, prompt_tokens: 698;0.008150000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14351;True;CWE-807;3.082613229751587;total_tokens: 905, completion_tokens: 46, prompt_tokens: 859;0.00997;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14375;True;CWE-190;5.461634635925293;total_tokens: 1121, completion_tokens: 60, prompt_tokens: 1061;0.01241;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14728;True;CWE-190;2.126201629638672;total_tokens: 995, completion_tokens: 48, prompt_tokens: 947;0.01091;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14944;True;CWE-22;2.8542346954345703;total_tokens: 853, completion_tokens: 46, prompt_tokens: 807;0.00945;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14729;True;CWE-400;2.887491226196289;total_tokens: 1656, completion_tokens: 55, prompt_tokens: 1601;0.01766;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J14945;True;CWE-22;3.347991943359375;total_tokens: 1366, completion_tokens: 50, prompt_tokens: 1316;0.014660000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15729;False;;1.2403998374938965;total_tokens: 1001, completion_tokens: 16, prompt_tokens: 985;0.010329999999999999;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15728;False;;2.0341029167175293;total_tokens: 659, completion_tokens: 16, prompt_tokens: 643;0.00691;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15937;True;CWE-20;2.3700757026672363;total_tokens: 1230, completion_tokens: 42, prompt_tokens: 1188;0.01314;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15370;True;CWE-190;2.7757389545440674;total_tokens: 894, completion_tokens: 32, prompt_tokens: 862;0.009580000000000002;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15377;True;CWE-754;3.0551841259002686;total_tokens: 1482, completion_tokens: 41, prompt_tokens: 1441;0.01564;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15936;True;CWE-190;3.5711727142333984;total_tokens: 1120, completion_tokens: 48, prompt_tokens: 1072;0.01216;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15371;True;CWE-190;3.900848388671875;total_tokens: 1458, completion_tokens: 39, prompt_tokens: 1419;0.015360000000000002;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15891;True;CWE-190;4.215439319610596;total_tokens: 1008, completion_tokens: 50, prompt_tokens: 958;0.01108;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15890;True;CWE-190;4.200486183166504;total_tokens: 875, completion_tokens: 42, prompt_tokens: 833;0.009590000000000001;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J15376;True;CWE-190;4.512568950653076;total_tokens: 910, completion_tokens: 32, prompt_tokens: 878;0.00974;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J17187;False;;1.1869137287139893;total_tokens: 993, completion_tokens: 16, prompt_tokens: 977;0.010249999999999999;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J16323;True;CWE-190;1.9531104564666748;total_tokens: 772, completion_tokens: 42, prompt_tokens: 730;0.00856;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J16950;True;CWE-20;2.021486282348633;total_tokens: 930, completion_tokens: 43, prompt_tokens: 887;0.01016;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J16322;True;CWE-190;2.074784517288208;total_tokens: 671, completion_tokens: 43, prompt_tokens: 628;0.00757;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J17186;True;CWE-190;2.123992443084717;total_tokens: 705, completion_tokens: 47, prompt_tokens: 658;0.00799;2024-03-07
gpt-4-0125-preview;juliet-top-25-subset-34;few_shot;J16260;True;CWE-190;2.290715217590332;total_tokens: 659, completion_tokens: 35, prompt_tokens: 624;0.00729;2024-03-07
