llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10677;True;CWE-129;4.075659513473511;total_tokens: 805, completion_tokens: 48, prompt_tokens: 757;0.00901;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10676;True;CWE-129;4.839595317840576;total_tokens: 408, completion_tokens: 55, prompt_tokens: 353;0.00518;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10531;True;CWE-89;5.1097822189331055;total_tokens: 1113, completion_tokens: 48, prompt_tokens: 1065;0.01209;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10127;True;CWE-129;6.075146198272705;total_tokens: 708, completion_tokens: 56, prompt_tokens: 652;0.0082;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10530;True;CWE-129;6.758502960205078;total_tokens: 585, completion_tokens: 60, prompt_tokens: 525;0.00705;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10126;True;CWE-129;10.506816387176514;total_tokens: 635, completion_tokens: 98, prompt_tokens: 537;0.008310000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10127;False;CWE-129;35.44846534729004;total_tokens: 3097, completion_tokens: 507, prompt_tokens: 2590;0.04111;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10676;True;CWE-129;36.32208728790283;total_tokens: 2162, completion_tokens: 505, prompt_tokens: 1657;0.03172;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10677;True;CWE-129;36.961261510849;total_tokens: 3325, completion_tokens: 450, prompt_tokens: 2875;0.042249999999999996;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10531;True;CWE-20;38.977601289749146;total_tokens: 4521, completion_tokens: 590, prompt_tokens: 3931;0.057010000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10126;True;CWE-129;39.078516244888306;total_tokens: 2815, completion_tokens: 514, prompt_tokens: 2301;0.03843;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10530;True;CWE-129;39.42616271972656;total_tokens: 2753, completion_tokens: 530, prompt_tokens: 2223;0.03813;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10754;True;CWE-129;2.488720178604126;total_tokens: 401, completion_tokens: 50, prompt_tokens: 351;0.00501;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11339;True;CWE-20;3.6314711570739746;total_tokens: 817, completion_tokens: 52, prompt_tokens: 765;0.009210000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11177;True;CWE-129;3.8154568672180176;total_tokens: 536, completion_tokens: 49, prompt_tokens: 487;0.00634;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11176;True;CWE-129;3.873927116394043;total_tokens: 414, completion_tokens: 52, prompt_tokens: 362;0.00518;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10739;True;CWE-129;3.9488768577575684;total_tokens: 781, completion_tokens: 49, prompt_tokens: 732;0.008790000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10755;True;CWE-129;4.042842388153076;total_tokens: 780, completion_tokens: 53, prompt_tokens: 727;0.00886;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J10738;True;CWE-129;4.401296615600586;total_tokens: 440, completion_tokens: 49, prompt_tokens: 391;0.00538;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11015;True;CWE-129;4.559335231781006;total_tokens: 1228, completion_tokens: 58, prompt_tokens: 1170;0.013440000000000002;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11338;True;CWE-129;4.642289638519287;total_tokens: 396, completion_tokens: 48, prompt_tokens: 348;0.00492;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11014;True;CWE-400;6.08114218711853;total_tokens: 667, completion_tokens: 83, prompt_tokens: 584;0.00833;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11338;True;CWE-129;24.03022265434265;total_tokens: 2205, completion_tokens: 505, prompt_tokens: 1700;0.03215;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10754;True;CWE-129;25.40716314315796;total_tokens: 1990, completion_tokens: 400, prompt_tokens: 1590;0.0279;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11339;True;CWE-20;27.138749599456787;total_tokens: 3276, completion_tokens: 426, prompt_tokens: 2850;0.041280000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10738;True;CWE-129;28.698007822036743;total_tokens: 2168, completion_tokens: 420, prompt_tokens: 1748;0.03008;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10755;True;CWE-129;29.85331082344055;total_tokens: 3245, completion_tokens: 454, prompt_tokens: 2791;0.041530000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11176;True;CWE-129;30.453458309173584;total_tokens: 2179, completion_tokens: 486, prompt_tokens: 1693;0.031509999999999996;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11014;True;CWE-400;38.07205629348755;total_tokens: 2864, completion_tokens: 481, prompt_tokens: 2383;0.03826;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J10739;True;CWE-129;38.60959458351135;total_tokens: 3400, completion_tokens: 548, prompt_tokens: 2852;0.04496;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11177;True;CWE-129;39.395915508270264;total_tokens: 2778, completion_tokens: 616, prompt_tokens: 2162;0.040100000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11015;True;CWE-129 CWE-400;43.122339487075806;total_tokens: 4869, completion_tokens: 612, prompt_tokens: 4257;0.06093;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11559;True;CWE-20;2.8033416271209717;total_tokens: 884, completion_tokens: 53, prompt_tokens: 831;0.0099;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11608;True;CWE-129;3.3809683322906494;total_tokens: 444, completion_tokens: 48, prompt_tokens: 396;0.0054;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11558;True;CWE-129;3.7215662002563477;total_tokens: 432, completion_tokens: 48, prompt_tokens: 384;0.005279999999999999;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J11609;True;CWE-20;4.384109258651733;total_tokens: 937, completion_tokens: 58, prompt_tokens: 879;0.010530000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11559;True;CWE-20;26.07745671272278;total_tokens: 3444, completion_tokens: 403, prompt_tokens: 3041;0.042499999999999996;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11608;True;CWE-129;26.581714630126953;total_tokens: 2122, completion_tokens: 389, prompt_tokens: 1733;0.028999999999999998;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11558;True;CWE-129;32.18324422836304;total_tokens: 2243, completion_tokens: 469, prompt_tokens: 1774;0.03181;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J11609;True;CWE-20;33.72925281524658;total_tokens: 3792, completion_tokens: 540, prompt_tokens: 3252;0.04872;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12326;True;CWE-129;3.4324607849121094;total_tokens: 503, completion_tokens: 48, prompt_tokens: 455;0.0059900000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12753;True;CWE-338;4.236023664474487;total_tokens: 749, completion_tokens: 71, prompt_tokens: 678;0.00891;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12752;True;CWE-129;4.758549928665161;total_tokens: 375, completion_tokens: 69, prompt_tokens: 306;0.00513;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12290;True;CWE-22;5.6648337841033936;total_tokens: 536, completion_tokens: 76, prompt_tokens: 460;0.006880000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12291;True;CWE-22;6.00428032875061;total_tokens: 1027, completion_tokens: 87, prompt_tokens: 940;0.01201;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12225;False;;6.029171466827393;total_tokens: 707, completion_tokens: 88, prompt_tokens: 619;0.008830000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12224;True;CWE-129;6.484182834625244;total_tokens: 334, completion_tokens: 61, prompt_tokens: 273;0.00456;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12498;True;CWE-22;6.564631938934326;total_tokens: 567, completion_tokens: 82, prompt_tokens: 485;0.0073100000000000005;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12499;True;CWE-22;6.932485342025757;total_tokens: 1025, completion_tokens: 97, prompt_tokens: 928;0.01219;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement;J12327;True;CWE-22;11.203701972961426;total_tokens: 657, completion_tokens: 87, prompt_tokens: 570;0.008310000000000001;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12225;False;;26.922722339630127;total_tokens: 2939, completion_tokens: 454, prompt_tokens: 2485;0.038470000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12752;True;CWE-129;27.96322250366211;total_tokens: 1935, completion_tokens: 426, prompt_tokens: 1509;0.027870000000000006;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12753;False;CWE-338;29.641468286514282;total_tokens: 3321, completion_tokens: 553, prompt_tokens: 2768;0.044270000000000004;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12326;True;CWE-129;38.46569895744324;total_tokens: 2482, completion_tokens: 497, prompt_tokens: 1985;0.03476;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12499;True;CWE-20 CWE-22;39.53030323982239;total_tokens: 4033, completion_tokens: 549, prompt_tokens: 3484;0.051309999999999995;2024-02-05
gpt-4-0125-preview;juliet-top-25-subset-34;basic_prompt_refinement_refine;J12327;True;CWE-22;41.11155724525452;total_tokens: 2922, completion_tokens: 529, prompt_tokens: 2393;0.0398;2024-02-05
