llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11608;True;CWE-20 CWE-129 CWE-79 CWE-400;40.82831597328186;total_tokens: 955, completion_tokens: 573, prompt_tokens: 382;0.021009999999999997;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11608;True;CWE-20 CWE-129;89.66776871681213;total_tokens: 4345, completion_tokens: 1376, prompt_tokens: 2969;0.07096999999999999;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10677;True;CWE-807 CWE-390 CWE-129;29.182900428771973;total_tokens: 1236, completion_tokens: 493, prompt_tokens: 743;0.02222;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10676;True;CWE-807 CWE-129;32.24379634857178;total_tokens: 762, completion_tokens: 423, prompt_tokens: 339;0.016079999999999997;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10530;True;CWE-404 CWE-787 CWE-259 CWE-89 CWE-390;35.41961050033569;total_tokens: 1168, completion_tokens: 657, prompt_tokens: 511;0.024820000000000002;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10531;True;CWE-404 CWE-20 CWE-476 CWE-89;36.35880398750305;total_tokens: 1651, completion_tokens: 600, prompt_tokens: 1051;0.028509999999999997;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10126;True;CWE-404 CWE-20 CWE-129 CWE-319;38.20215678215027;total_tokens: 1196, completion_tokens: 673, prompt_tokens: 523;0.025419999999999998;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10127;True;CWE-404 CWE-20 CWE-129 CWE-319;46.69209885597229;total_tokens: 1324, completion_tokens: 686, prompt_tokens: 638;0.026959999999999998;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10531;False;;67.03102827072144;total_tokens: 6237, completion_tokens: 1264, prompt_tokens: 4973;0.08764999999999999;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10676;True;CWE-807 CWE-129;69.41360521316528;total_tokens: 3680, completion_tokens: 1134, prompt_tokens: 2546;0.059480000000000005;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10677;True;CWE-129 CWE-807 CWE-390;82.93341493606567;total_tokens: 5243, completion_tokens: 1339, prompt_tokens: 3904;0.07921;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10126;True;CWE-129 CWE-20 CWE-404 CWE-319;83.49341320991516;total_tokens: 4956, completion_tokens: 1409, prompt_tokens: 3547;0.07774;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10530;True;CWE-390 CWE-787;94.93440365791321;total_tokens: 5008, completion_tokens: 1531, prompt_tokens: 3477;0.0807;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10127;True;CWE-129 CWE-20 CWE-404 CWE-319;100.13595056533813;total_tokens: 5429, completion_tokens: 1490, prompt_tokens: 3939;0.08409;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11177;True;CWE-20 CWE-129;26.14900231361389;total_tokens: 936, completion_tokens: 463, prompt_tokens: 473;0.018619999999999998;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11338;True;CWE-20 CWE-129;27.60899519920349;total_tokens: 802, completion_tokens: 468, prompt_tokens: 334;0.01738;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10754;True;CWE-129;31.305436372756958;total_tokens: 793, completion_tokens: 456, prompt_tokens: 337;0.017050000000000003;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11014;True;CWE-404 CWE-787 CWE-676 CWE-22 CWE-390 CWE-129;35.46890163421631;total_tokens: 1150, completion_tokens: 580, prompt_tokens: 570;0.0231;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11176;True;CWE-807 CWE-20 CWE-129;38.959299087524414;total_tokens: 975, completion_tokens: 627, prompt_tokens: 348;0.02229;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10755;True;CWE-807 CWE-390 CWE-129;38.959299087524414;total_tokens: 1230, completion_tokens: 517, prompt_tokens: 713;0.02264;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11339;True;CWE-20 CWE-129 CWE-89;38.96391701698303;total_tokens: 1340, completion_tokens: 589, prompt_tokens: 751;0.02518;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J11015;True;CWE-676 CWE-22 CWE-390 CWE-129 CWE-703;41.616345167160034;total_tokens: 1836, completion_tokens: 680, prompt_tokens: 1156;0.03196;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10739;True;CWE-807 CWE-20 CWE-129;46.77971148490906;total_tokens: 1305, completion_tokens: 587, prompt_tokens: 718;0.02479;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci;J10738;True;CWE-807 CWE-489 CWE-390 CWE-129;51.337788105010986;total_tokens: 929, completion_tokens: 552, prompt_tokens: 377;0.020329999999999997;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11338;True;CWE-20 CWE-129;68.80949926376343;total_tokens: 3712, completion_tokens: 1121, prompt_tokens: 2591;0.059539999999999996;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11177;True;CWE-20 CWE-129;73.0534279346466;total_tokens: 4160, completion_tokens: 1158, prompt_tokens: 3002;0.06476;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10754;True;CWE-129;74.47581672668457;total_tokens: 3639, completion_tokens: 1067, prompt_tokens: 2572;0.05773;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11339;False;;83.68526434898376;total_tokens: 5495, completion_tokens: 1308, prompt_tokens: 4187;0.08111;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11014;True;CWE-22 CWE-787 CWE-129 CWE-390 CWE-404 CWE-676 CWE-532;89.2232608795166;total_tokens: 5104, completion_tokens: 1532, prompt_tokens: 3572;0.08167999999999999;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J11176;True;CWE-807 CWE-129 CWE-20;93.76463770866394;total_tokens: 4338, completion_tokens: 1378, prompt_tokens: 2960;0.07094;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10739;True;CWE-20 CWE-129;100.2129590511322;total_tokens: 5260, completion_tokens: 1303, prompt_tokens: 3957;0.07866000000000001;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10755;True;CWE-807 CWE-129 CWE-390;101.61286616325378;total_tokens: 5334, completion_tokens: 1423, prompt_tokens: 3911;0.0818;2024-02-06
gpt-4-0125-preview;juliet-top-25-subset-34;require_fix_prompt_rci_improve;J10738;True;CWE-129 CWE-807 CWE-390;107.46170997619629;total_tokens: 4291, completion_tokens: 1361, prompt_tokens: 2930;0.07013;2024-02-06
