llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19828;True;CWE-79 CWE-200;17.578830003738403;total_tokens: 889, completion_tokens: 393, prompt_tokens: 496;0.01675;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19829;False;;22.247634887695312;total_tokens: 1124, completion_tokens: 468, prompt_tokens: 656;0.0206;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19817;False;;23.321894884109497;total_tokens: 944, completion_tokens: 446, prompt_tokens: 498;0.01836;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19819;False;;25.461961030960083;total_tokens: 1104, completion_tokens: 464, prompt_tokens: 640;0.02032;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19820;True;CWE-523;28.424906015396118;total_tokens: 1088, completion_tokens: 601, prompt_tokens: 487;0.022899999999999997;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19816;True;CWE-523;29.446192026138306;total_tokens: 952, completion_tokens: 474, prompt_tokens: 478;0.018999999999999996;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19825;True;CWE-79 CWE-20;30.350823402404785;total_tokens: 1298, completion_tokens: 642, prompt_tokens: 656;0.02582;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19830;False;;30.841192960739136;total_tokens: 1044, completion_tokens: 536, prompt_tokens: 508;0.02116;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19822;False;;31.11955237388611;total_tokens: 1025, completion_tokens: 516, prompt_tokens: 509;0.02057;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19821;True;CWE-79;32.759703159332275;total_tokens: 1196, completion_tokens: 550, prompt_tokens: 646;0.02296;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19823;True;CWE-79;32.93258595466614;total_tokens: 1146, completion_tokens: 478, prompt_tokens: 668;0.021019999999999997;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19827;False;;33.71757102012634;total_tokens: 1238, completion_tokens: 571, prompt_tokens: 667;0.0238;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19818;True;CWE-598;36.2949857711792;total_tokens: 1177, completion_tokens: 693, prompt_tokens: 484;0.025629999999999997;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19831;True;CWE-79;38.47539305686951;total_tokens: 1325, completion_tokens: 659, prompt_tokens: 666;0.02643;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19824;False;;38.54488682746887;total_tokens: 1012, completion_tokens: 513, prompt_tokens: 499;0.02038;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19836;True;CWE-79;25.49481964111328;total_tokens: 1024, completion_tokens: 537, prompt_tokens: 487;0.02098;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19833;True;CWE-209;34.19158720970154;total_tokens: 1280, completion_tokens: 632, prompt_tokens: 648;0.02544;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19838;True;CWE-598;24.154815912246704;total_tokens: 1130, completion_tokens: 541, prompt_tokens: 589;0.02212;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19834;True;CWE-523;32.5237500667572;total_tokens: 1111, completion_tokens: 625, prompt_tokens: 486;0.02361;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19837;False;;28.351556539535522;total_tokens: 1109, completion_tokens: 463, prompt_tokens: 646;0.02035;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19840;False;;27.167840242385864;total_tokens: 960, completion_tokens: 468, prompt_tokens: 492;0.01896;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19841;False;;29.260758876800537;total_tokens: 1161, completion_tokens: 505, prompt_tokens: 656;0.02171;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19835;False;;37.347222328186035;total_tokens: 1195, completion_tokens: 551, prompt_tokens: 644;0.02297;2024-03-14
gpt-4-0125-preview;juliet-top-25-subset-34;cot_high_level_sc1;J19839;False;;31.098220348358154;total_tokens: 1086, completion_tokens: 477, prompt_tokens: 609;0.020399999999999998;2024-03-14
