llm_model;dataset;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10126;True;CWE-129 CWE-20 CWE-400 CWE-404 CWE-532;202.38827180862427;total_tokens: 32714, completion_tokens: 8729, prompt_tokens: 23985;0.5017199999999999;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10127;True;CWE-20 CWE-190 CWE-388 CWE-404 CWE-754 CWE-807 CWE-209;313.8632423877716;total_tokens: 38981, completion_tokens: 10519, prompt_tokens: 28462;0.60019;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10530;True;CWE-20 CWE-404 CWE-209 CWE-129;349.66720032691956;total_tokens: 35228, completion_tokens: 9286, prompt_tokens: 25942;0.538;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10531;True;CWE-20 CWE-404 CWE-129 CWE-532 CWE-754;268.6730842590332;total_tokens: 43740, completion_tokens: 9657, prompt_tokens: 34083;0.6305399999999999;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10676;False;;249.6772220134735;total_tokens: 30597, completion_tokens: 9138, prompt_tokens: 21459;0.4887300000000001;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10677;False;;247.64770245552063;total_tokens: 33678, completion_tokens: 8616, prompt_tokens: 25062;0.5091000000000001;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10738;True;CWE-20 CWE-532;437.87209010124207;total_tokens: 32839, completion_tokens: 9749, prompt_tokens: 23090;0.5233699999999999;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10739;True;CWE-20 CWE-129 CWE-532;306.6937038898468;total_tokens: 42547, completion_tokens: 12015, prompt_tokens: 30532;0.66577;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10754;True;CWE-129 CWE-20;294.2102918624878;total_tokens: 28746, completion_tokens: 8657, prompt_tokens: 20089;0.4606000000000001;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J10755;True;CWE-20 CWE-532;308.9087176322937;total_tokens: 41227, completion_tokens: 10294, prompt_tokens: 30933;0.61815;2024-03-15
gpt-4-0125-preview;juliet-top-25-subset-34;tot_high_level;J11014;True;CWE-400 CWE-704 CWE-787 CWE-399 CWE-532;262.86251616477966;total_tokens: 35604, completion_tokens: 10007, prompt_tokens: 25597;0.5561799999999999;2024-03-15
