dataset;llm_model;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20478;True;CWE-78;8.219948530197144;total_tokens: 782, completion_tokens: 194, prompt_tokens: 588;0.011699999999999999;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20433;False;;9.633665561676025;total_tokens: 806, completion_tokens: 225, prompt_tokens: 581;0.01256;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20497;True;CWE-78;12.433894634246826;total_tokens: 753, completion_tokens: 317, prompt_tokens: 436;0.01387;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20479;True;CWE-78;13.06844449043274;total_tokens: 892, completion_tokens: 327, prompt_tokens: 565;0.015459999999999998;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20433;True;CWE-78;13.86319351196289;total_tokens: 1758, completion_tokens: 315, prompt_tokens: 1443;0.02388;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20465;True;CWE-78;14.608494997024536;total_tokens: 818, completion_tokens: 336, prompt_tokens: 482;0.0149;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20496;True;CWE-78;14.888371706008911;total_tokens: 764, completion_tokens: 193, prompt_tokens: 571;0.0115;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20626;True;CWE-78;18.0858416557312;total_tokens: 868, completion_tokens: 205, prompt_tokens: 663;0.01278;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20478;True;CWE-78;19.77742075920105;total_tokens: 1743, completion_tokens: 317, prompt_tokens: 1426;0.02377;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20464;True;CWE-78;21.71116042137146;total_tokens: 905, completion_tokens: 246, prompt_tokens: 659;0.01397;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20627;True;CWE-78;22.067376375198364;total_tokens: 828, completion_tokens: 251, prompt_tokens: 577;0.0133;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20432;True;CWE-78;22.53749418258667;total_tokens: 884, completion_tokens: 229, prompt_tokens: 655;0.013420000000000001;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20496;True;CWE-78;23.668798208236694;total_tokens: 1694, completion_tokens: 303, prompt_tokens: 1391;0.023;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20497;False;;25.764290809631348;total_tokens: 1695, completion_tokens: 450, prompt_tokens: 1245;0.02595;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20479;False;;27.664211750030518;total_tokens: 2034, completion_tokens: 521, prompt_tokens: 1513;0.03076;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J20632;True;CWE-78;13.403991460800171;total_tokens: 975, completion_tokens: 178, prompt_tokens: 797;0.01331;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20465;False;;28.63308596611023;total_tokens: 1859, completion_tokens: 503, prompt_tokens: 1356;0.02865;2024-01-19
